dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ns | Ds",64,0,184.156,0,0.03556,51.6304,235.922,235.822
1,float,uniform,CPU,"Ns | Ds",64,1,0.03472,0,0.022099,0.009152,0.111409,0.065971
1,float,uniform,CPU,"Ns | Ds",64,2,0.0312,0,0.01837,0.00448,0.092719,0.05405
1,float,uniform,CPU,"Ns | Ds",64,3,0.03008,0,0.01887,0.005856,0.093289,0.054806
1,float,uniform,CPU,"Ns | Ds",64,4,0.02784,0,0.01515,0.006464,0.080579,0.049454
1,float,uniform,CPU,"Ns | Ds",64,5,0.028832,0,0.018519,0.00592,0.091749,0.053271
1,float,uniform,CPU,"Ns | Ds",64,6,0.027552,0,0.01482,0.007296,0.081259,0.049668
1,float,uniform,CPU,"Ns | Ds",64,7,0.030848,0,0.01851,0.003616,0.093919,0.052974
1,float,uniform,CPU,"Ns | Ds",64,8,0.032096,0,0.01822,0.005568,0.094839,0.055884
1,float,uniform,CPU,"Ns | Ds",64,9,0.030848,0,0.01836,0.005088,0.099648,0.054296
1,float,uniform,CPU,"Ns | Ds",64,10,0.029632,0,0.0183,0.00736,0.093989,0.055292
1,float,uniform,CPU,"Ns | Ds",64,11,0.029664,0,0.018211,0.005888,0.094249,0.053763
1,float,uniform,CPU,"Ns | Ds",64,12,0.032128,0,0.01838,0.005216,0.09295,0.055724
1,float,uniform,CPU,"Ns | Ds",64,13,0.02992,0,0.0187,0.005824,0.091969,0.054444
1,float,uniform,CPU,"Ns | Ds",64,14,0.028992,0,0.01838,0.00576,0.091879,0.053132
1,float,uniform,CPU,"Ns | Ds",64,15,0.0296,0,0.018261,0.005536,0.089149,0.053397
1,float,uniform,CPU,"Ns | Ds",64,16,0.028992,0,0.01794,0.006784,0.091429,0.053716
1,float,uniform,CPU,"Ns | Ds",64,17,0.030656,0,0.01867,0.005216,0.094019,0.054542
1,float,uniform,CPU,"Ns | Ds",64,18,0.030976,0,0.01833,0.00576,0.093229,0.055066
1,float,uniform,CPU,"Ns | Ds",64,19,0.03088,0,0.01832,0.005216,0.090979,0.054416
1,float,uniform,CPU,"Ns | Ds",64,20,0.029248,0,0.01807,0.005824,0.092309,0.053142
1,float,uniform,CPU,"Ns | Ds",64,21,0.029952,0,0.019249,0.005344,0.093099,0.054545
1,float,uniform,CPU,"Ns | Ds",64,22,0.029568,0,0.018711,0.007264,0.092869,0.055543
1,float,uniform,CPU,"Ns | Ds",64,23,0.02832,0,0.01836,0.005952,0.088489,0.052632
1,float,uniform,CPU,"Ns | Ds",64,24,0.029344,0,0.018469,0.005504,0.091639,0.053317
1,float,uniform,CPU,"Ns | Ds",64,25,0.030624,0,0.01833,0.00592,0.090879,0.054874
1,float,uniform,CPU,"Ns | Ds",64,26,0.03424,0,0.01849,0.00576,0.099029,0.05849
