dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | D",64,0,183.439,0,0.05834,51.9453,235.543,235.443
1,double,uniform,GPU,"D | D",64,1,0.01216,0,0.04567,0.00656,0.101449,0.06439
1,double,uniform,GPU,"D | D",64,2,0.012384,0,0.041299,0.006208,0.094429,0.059891
1,double,uniform,GPU,"D | D",64,3,0.012928,0,0.04092,0.006848,0.094529,0.060696
1,double,uniform,GPU,"D | D",64,4,0.011072,0,0.04209,0.006848,0.093099,0.06001
1,double,uniform,GPU,"D | D",64,5,0.011488,0,0.041289,0.009664,0.096559,0.062441
1,double,uniform,GPU,"D | D",64,6,0.010752,0,0.041309,0.005856,0.091449,0.057917
1,double,uniform,GPU,"D | D",64,7,0.012544,0,0.037999,0.009856,0.088639,0.060399
1,double,uniform,GPU,"D | D",64,8,0.012896,0,0.0413,0.007328,0.095119,0.061524
1,double,uniform,GPU,"D | D",64,9,0.011232,0,0.04093,0.00768,0.092588,0.059842
1,double,uniform,GPU,"D | D",64,10,0.01296,0,0.041279,0.007648,0.095469,0.061887
1,double,uniform,GPU,"D | D",64,11,0.010176,0,0.04122,0.007296,0.091579,0.058692
1,double,uniform,GPU,"D | D",64,12,0.012032,0,0.041439,0.00688,0.092919,0.060351
1,double,uniform,GPU,"D | D",64,13,0.011552,0,0.04138,0.006304,0.092719,0.059236
1,double,uniform,GPU,"D | D",64,14,0.010368,0,0.04797,0.00656,0.099569,0.064898
1,double,uniform,GPU,"D | D",64,15,0.01136,0,0.04113,0.009376,0.095659,0.061866
1,double,uniform,GPU,"D | D",64,16,0.012384,0,0.04218,0.007456,0.096639,0.06202
1,double,uniform,GPU,"D | D",64,17,0.012576,0,0.041069,0.007456,0.095719,0.061101
1,double,uniform,GPU,"D | D",64,18,0.010592,0,0.041289,0.007296,0.092599,0.059177
