dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ds",192,31,0.012352,0,0.040409,0.010272,0.096819,0.063033
1,double,uniform,GPU,"Ds | Ds",192,32,0.014976,0,0.042519,0.008352,0.096419,0.065847
1,double,uniform,GPU,"Ds | Ds",192,33,0.012832,0,0.044279,0.006112,0.097809,0.063223
1,double,uniform,GPU,"Ds | Ds",192,34,0.013888,0,0.04417,0.00784,0.099939,0.065898
1,double,uniform,GPU,"Ds | Ds",192,35,0.012416,0,0.04471,0.00752,0.098328,0.064646
1,double,uniform,GPU,"Ds | Ds",192,36,0.013056,0,0.04404,0.007968,0.098719,0.065064
1,double,uniform,GPU,"Ds | Ds",192,37,0.013376,0,0.044439,0.010048,0.102929,0.067863
1,double,uniform,GPU,"Ds | Ds",192,38,0.011456,0,0.04464,0.008864,0.099939,0.06496
1,double,uniform,GPU,"Ds | Ds",192,39,0.012672,0,0.044309,0.009312,0.100379,0.066293
1,double,uniform,GPU,"Ds | Ds",192,40,0.015712,0,0.044799,0.013728,0.110469,0.074239
1,double,uniform,GPU,"Ds | Ds",192,41,0.012928,0,0.043659,0.007456,0.096669,0.064043
1,double,uniform,GPU,"Ds | Ds",192,42,0.01328,0,0.044529,0.00928,0.101019,0.067089
1,double,uniform,GPU,"Ds | Ds",192,43,0.012896,0,0.04381,0.007456,0.098359,0.064162
1,double,uniform,GPU,"Ds | Ds",192,44,0.011328,0,0.04145,0.008384,0.091679,0.061162
1,double,uniform,GPU,"Ds | Ds",192,45,0.012768,0,0.043969,0.008896,0.099629,0.065633
1,double,uniform,GPU,"Ds | Ds",192,46,0.013312,0,0.04458,0.006752,0.097859,0.064644
1,double,uniform,GPU,"Ds | Ds",192,47,0.012576,0,0.04432,0.007616,0.098109,0.064512
1,double,uniform,GPU,"Ds | Ds",192,48,0.012608,0,0.044869,0.006464,0.185928,0.063941
1,double,uniform,GPU,"Ds | Ds",192,49,0.011872,0,0.04387,0.008928,0.098479,0.06467
1,double,uniform,GPU,"Ds | Ds",192,50,0.012832,0,0.0442,0.009376,0.101198,0.066408
1,double,uniform,GPU,"Ds | Ds",192,51,0.011744,0,0.043799,0.00784,0.098199,0.063383
1,double,uniform,GPU,"Ds | Ds",192,52,0.012288,0,0.044629,0.008864,0.099899,0.065781
1,double,uniform,GPU,"Ds | Ds",192,53,0.013536,0,0.0444,0.008928,0.101539,0.066864
1,double,uniform,GPU,"Ds | Ds",192,54,0.0128,0,0.04414,0.006112,0.096779,0.063052
1,double,uniform,GPU,"Ds | Ds",192,55,0.013696,0,0.04402,0.006848,0.097778,0.064564
1,double,uniform,GPU,"Ds | Ds",192,56,0.01456,0,0.04395,0.005792,0.097408,0.064302
1,double,uniform,GPU,"Ds | Ds",192,57,0.011264,0,0.043629,0.008352,0.097609,0.063245
1,double,uniform,GPU,"Ds | Ds",192,58,0.013824,0,0.050269,0.00832,0.107388,0.072413
1,double,uniform,GPU,"Ds | Ds",192,59,0.014528,0,0.04475,0.007808,0.103119,0.067086
1,double,uniform,GPU,"Ds | Ds",192,60,0.013184,0,0.044529,0.007936,0.100099,0.065649
1,double,uniform,GPU,"Ds | Ds",192,61,0.01264,0,0.04453,0.008384,0.099618,0.065554
1,double,uniform,GPU,"Ds | Ds",192,62,0.012864,0,0.04366,0.008288,0.099129,0.064812
1,double,uniform,GPU,"Ds | Ds",192,63,0.013184,0,0.04399,0.006432,0.097699,0.063606
1,double,uniform,GPU,"Ds | Ds",192,64,0.01248,0,0.04421,0.00672,0.09715,0.06341
1,double,uniform,GPU,"Ds | Ds",192,65,0.01296,0,0.044469,0.007488,0.098869,0.064917
1,double,uniform,GPU,"Ds | Ds",192,66,0.0136,0,0.04424,0.007424,0.098369,0.065264
1,double,uniform,GPU,"Ds | Ds",192,67,0.013184,0,0.044769,0.007776,0.099169,0.065729
1,double,uniform,GPU,"Ds | Ds",192,68,0.01168,0,0.044339,0.00864,0.099059,0.064659
1,double,uniform,GPU,"Ds | Ds",192,69,0.011488,0,0.04031,0.008832,0.090039,0.06063
1,double,uniform,GPU,"Ds | Ds",192,70,0.017312,0,0.044009,0.007296,0.101919,0.068617
1,double,uniform,GPU,"Ds | Ds",192,71,0.013088,0,0.04414,0.006432,0.099138,0.06366
1,double,uniform,GPU,"Ds | Ds",192,72,0.011776,0,0.044,0.008096,0.097539,0.063872
1,double,uniform,GPU,"Ds | Ds",192,73,0.013216,0,0.04392,0.008864,0.099999,0.066
1,double,uniform,GPU,"Ds | Ds",192,74,0.013248,0,0.044279,0.007744,0.098989,0.065271
1,double,uniform,GPU,"Ds | Ds",256,0,0.024576,0,0.04262,0.016448,0.127178,0.083644
