dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",64,46,0.01088,0.00148,0.184567,0.015968,0.263367,0.212895
3,double,uniform,GPU,"D | D | D | D | N | D",64,47,0.021312,0.00146,0.188547,0.026208,0.290377,0.237527
3,double,uniform,GPU,"D | D | D | D | N | D",64,48,0.020736,0.001419,0.187308,0.017056,0.280777,0.226519
3,double,uniform,GPU,"D | D | D | D | N | D",64,49,0.021408,0.001481,0.189189,0.01568,0.281457,0.227758
3,double,uniform,GPU,"D | D | D | D | N | D",64,50,0.021056,0.00142,0.188648,0.016064,0.281347,0.227188
3,double,uniform,GPU,"D | D | D | D | N | D",64,51,0.02224,0.00139,0.180268,0.0176,0.269707,0.221498
3,double,uniform,GPU,"D | D | D | D | N | D",64,52,0.014368,0.00151,0.187107,0.015904,0.273287,0.218889
3,double,uniform,GPU,"D | D | D | D | N | D",64,53,0.022048,0.001431,0.187679,0.016256,0.281017,0.227414
3,double,uniform,GPU,"D | D | D | D | N | D",64,54,0.020704,0.001409,0.221958,0.015136,0.314327,0.259207
3,double,uniform,GPU,"D | D | D | D | N | D",64,55,0.02192,0.00147,0.187889,0.01568,0.281137,0.226959
3,double,uniform,GPU,"D | D | D | D | N | D",64,56,0.013376,0.00141,0.187698,0.01536,0.272367,0.217844
3,double,uniform,GPU,"D | D | D | D | N | D",64,57,0.021248,0.00158,0.181209,0.016416,0.273767,0.220453
3,double,uniform,GPU,"D | D | D | D | N | D",64,58,0.02144,0.00149,0.187327,0.015648,0.280197,0.225905
3,double,uniform,GPU,"D | D | D | D | N | D",64,59,0.022016,0.00135,0.187018,0.015904,0.280567,0.226288
3,double,uniform,GPU,"D | D | D | D | N | D",64,60,0.014816,0.001419,0.187818,0.101312,0.360646,0.305365
3,double,uniform,GPU,"D | D | D | D | N | D",64,61,0.021568,0.001402,0.188108,0.016352,0.281596,0.22743
3,double,uniform,GPU,"D | D | D | D | N | D",64,62,0.014592,0.00155,0.188868,0.01568,0.275657,0.22069
3,double,uniform,GPU,"D | D | D | D | N | D",64,63,0.018272,0.001521,0.187008,0.018368,0.278027,0.225169
3,double,uniform,GPU,"D | D | D | D | N | D",64,64,0.021376,0.00144,0.188797,0.01632,0.281397,0.227933
3,double,uniform,GPU,"D | D | D | D | N | D",64,65,0.021984,0.001541,0.187547,0.015264,0.280047,0.226336
3,double,uniform,GPU,"D | D | D | D | N | D",64,66,0.01264,0.00145,0.188088,0.015904,0.272577,0.218082
3,double,uniform,GPU,"D | D | D | D | N | D",64,67,0.014048,0.001391,0.187597,0.015232,0.272287,0.218268
3,double,uniform,GPU,"D | D | D | D | N | D",64,68,0.022176,0.0014,0.188397,0.014752,0.281317,0.226725
3,double,uniform,GPU,"D | D | D | D | N | D",64,69,0.0216,0.00142,0.187557,0.018048,0.281507,0.228625
3,double,uniform,GPU,"D | D | D | D | N | D",64,70,0.014368,0.00141,0.188879,0.015104,0.274657,0.219761
3,double,uniform,GPU,"D | D | D | D | N | D",64,71,0.021568,0.001461,0.188568,0.018432,0.283917,0.230029
3,double,uniform,GPU,"D | D | D | D | N | D",64,72,0.020544,0.001531,0.248718,0.016736,0.342346,0.287529
3,double,uniform,GPU,"D | D | D | D | N | D",64,73,0.0208,0.001449,0.187159,0.015616,0.278977,0.225024
3,double,uniform,GPU,"D | D | D | D | N | D",64,74,0.020448,0.00142,0.181898,0.016672,0.267837,0.220438
3,double,uniform,GPU,"D | D | D | D | N | D",128,0,0.04128,0.002049,1.49983,0.067712,1.66844,1.61087
3,double,uniform,GPU,"D | D | D | D | N | D",128,1,0.029056,0.00162,1.48828,0.063616,1.63789,1.58258
3,double,uniform,GPU,"D | D | D | D | N | D",128,2,0.029344,0.00168,1.48205,0.061984,1.6327,1.57506
3,double,uniform,GPU,"D | D | D | D | N | D",128,3,0.02848,0.00192,1.48123,0.061504,1.63121,1.57314
3,double,uniform,GPU,"D | D | D | D | N | D",128,4,0.028832,0.001639,1.47924,0.059392,1.62458,1.56911
3,double,uniform,GPU,"D | D | D | D | N | D",128,5,0.02976,0.00184,1.48129,0.061312,1.63022,1.57421
3,double,uniform,GPU,"D | D | D | D | N | D",128,6,0.044,0.00211,1.49022,0.068896,1.66582,1.60523
3,double,uniform,GPU,"D | D | D | D | N | D",128,7,0.030304,0.00152,1.4809,0.06048,1.6288,1.57321
3,double,uniform,GPU,"D | D | D | D | N | D",128,8,0.02976,0.001529,1.48189,0.060576,1.6291,1.57376
3,double,uniform,GPU,"D | D | D | D | N | D",128,9,0.028288,0.001541,1.47938,0.059936,1.62204,1.56915
3,double,uniform,GPU,"D | D | D | D | N | D",128,10,0.0288,0.00147,1.48688,0.059808,1.63255,1.57696
3,double,uniform,GPU,"D | D | D | D | N | D",128,11,0.028224,0.00153,1.47521,0.061696,1.61842,1.56666
3,double,uniform,GPU,"D | D | D | D | N | D",128,12,0.032736,0.00168,1.47979,0.061504,1.63254,1.57571
3,double,uniform,GPU,"D | D | D | D | N | D",128,13,0.042816,0.00211,1.48982,0.067232,1.65798,1.60198
3,double,uniform,GPU,"D | D | D | D | N | D",128,14,0.032032,0.00174,1.48604,0.0592,1.64038,1.57902
3,double,uniform,GPU,"D | D | D | D | N | D",128,15,0.029952,0.00159,1.47982,0.05984,1.62706,1.5712
