dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | N",64,0,180.878,0,0.03346,47.108,228.115,228.019
1,float,uniform,GPU,"N | N",64,1,0.01632,0,0.02343,0.00848,0.088829,0.04823
1,float,uniform,GPU,"N | N",64,2,0.010496,0,0.01786,0.008224,0.07045,0.03658
1,float,uniform,GPU,"N | N",64,3,0.011072,0,0.01803,0.005312,0.06727,0.034414
1,float,uniform,GPU,"N | N",64,4,0.01216,0,0.01796,0.007488,0.071599,0.037608
1,float,uniform,GPU,"N | N",64,5,0.01056,0,0.01812,0.00752,0.075,0.0362
1,float,uniform,GPU,"N | N",64,6,0.011328,0,0.01756,0.005888,0.067399,0.034776
1,float,uniform,GPU,"N | N",64,7,0.010784,0,0.017719,0.005568,0.066229,0.034071
1,float,uniform,GPU,"N | N",64,8,0.010464,0,0.01827,0.005632,0.067129,0.034366
1,float,uniform,GPU,"N | N",64,9,0.012608,0,0.017621,0.005568,0.068919,0.035797
1,float,uniform,GPU,"N | N",64,10,0.011584,0,0.018119,0.00544,0.068879,0.035143
1,float,uniform,GPU,"N | N",64,11,0.010016,0,0.01813,0.00368,0.067529,0.031826
1,float,uniform,GPU,"N | N",64,12,0.013824,0,0.018188,0.005376,0.071279,0.037388
1,float,uniform,GPU,"N | N",64,13,0.010592,0,0.01802,0.0056,0.067289,0.034212
1,float,uniform,GPU,"N | N",64,14,0.01136,0,0.01803,0.0064,0.07067,0.03579
1,float,uniform,GPU,"N | N",64,15,0.010464,0,0.01798,0.00432,0.066879,0.032764
1,float,uniform,GPU,"N | N",64,16,0.010784,0,0.01803,0.006272,0.06855,0.035086
1,float,uniform,GPU,"N | N",64,17,0.013216,0,0.01783,0.005472,0.069199,0.036518
1,float,uniform,GPU,"N | N",64,18,0.010368,0,0.01824,0.00592,0.067339,0.034528
1,float,uniform,GPU,"N | N",64,19,0.010496,0,0.01757,0.005536,0.06647,0.033602
1,float,uniform,GPU,"N | N",64,20,0.012096,0,0.01806,0.005376,0.068919,0.035532
1,float,uniform,GPU,"N | N",64,21,0.010944,0,0.01788,0.005376,0.06661,0.0342
1,float,uniform,GPU,"N | N",64,22,0.012896,0,0.01839,0.005312,0.069319,0.036598
1,float,uniform,GPU,"N | N",64,23,0.011488,0,0.01822,0.006496,0.073989,0.036204
1,float,uniform,GPU,"N | N",64,24,0.009952,0,0.01626,0.008032,0.066419,0.034244
1,float,uniform,GPU,"N | N",64,25,0.01024,0,0.02406,0.003616,0.073419,0.037916
1,float,uniform,GPU,"N | N",64,26,0.009632,0,0.018018,0.005632,0.067349,0.033282
1,float,uniform,GPU,"N | N",64,27,0.010272,0,0.01772,0.004608,0.06742,0.0326
1,float,uniform,GPU,"N | N",64,28,0.010592,0,0.01874,0.004576,0.067,0.033908
1,float,uniform,GPU,"N | N",64,29,0.011616,0,0.01779,0.003648,0.067449,0.033054
1,float,uniform,GPU,"N | N",64,30,0.01104,0,0.018399,0.005312,0.068409,0.034751
1,float,uniform,GPU,"N | N",64,31,0.010528,0,0.018099,0.00592,0.067539,0.034547
1,float,uniform,GPU,"N | N",64,32,0.010304,0,0.01799,0.006528,0.070159,0.034822
1,float,uniform,GPU,"N | N",64,33,0.012384,0,0.017879,0.005472,0.069049,0.035735
1,float,uniform,GPU,"N | N",64,34,0.011872,0,0.017599,0.005728,0.171398,0.035199
1,float,uniform,GPU,"N | N",64,35,0.010272,0,0.018489,0.00448,0.067219,0.033241
1,float,uniform,GPU,"N | N",64,36,0.011648,0,0.01764,0.00608,0.068289,0.035368
1,float,uniform,GPU,"N | N",64,37,0.011712,0,0.01826,0.004736,0.06888,0.034708
1,float,uniform,GPU,"N | N",64,38,0.011104,0,0.01778,0.007328,0.06906,0.036212
1,float,uniform,GPU,"N | N",64,39,0.012192,0,0.01824,0.005376,0.069199,0.035808
1,float,uniform,GPU,"N | N",64,40,0.011104,0,0.01792,0.005824,0.06701,0.034848
1,float,uniform,GPU,"N | N",64,41,0.010816,0,0.01808,0.0072,0.0727,0.036096
1,float,uniform,GPU,"N | N",64,42,0.009824,0,0.018019,0.00576,0.066539,0.033603
1,float,uniform,GPU,"N | N",64,43,0.01088,0,0.01812,0.007584,0.070669,0.036584
1,float,uniform,GPU,"N | N",64,44,0.013248,0,0.0182,0.006016,0.069969,0.037464
1,float,uniform,GPU,"N | N",64,45,0.015584,0,0.01798,0.005056,0.072749,0.03862
1,float,uniform,GPU,"N | N",64,46,0.011808,0,0.01775,0.009504,0.072349,0.039062
