dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",64,0,181.829,0,0.111258,67.6775,249.732,249.618
3,double,uniform,GPU,"P | P | P | P | P | P",64,1,0.00928,0,0.094968,0.020928,0.184798,0.125176
3,double,uniform,GPU,"P | P | P | P | P | P",64,2,0.015616,0,0.095319,0.020832,0.191708,0.131767
3,double,uniform,GPU,"P | P | P | P | P | P",64,3,0.014144,0,0.092789,0.02576,0.239637,0.132693
3,double,uniform,GPU,"P | P | P | P | P | P",64,4,0.009792,0,0.095289,0.022176,0.187418,0.127257
3,double,uniform,GPU,"P | P | P | P | P | P",64,5,0.01488,0,0.094669,0.021024,0.190728,0.130573
3,double,uniform,GPU,"P | P | P | P | P | P",64,6,0.01776,0,0.09455,0.021824,0.194027,0.134134
3,double,uniform,GPU,"P | P | P | P | P | P",64,7,0.015936,0,0.09511,0.02112,0.193018,0.132166
3,double,uniform,GPU,"P | P | P | P | P | P",64,8,0.014112,0,0.094788,0.020192,0.189388,0.129092
3,double,uniform,GPU,"P | P | P | P | P | P",64,9,0.01536,0,0.09194,0.02448,0.183368,0.13178
3,double,uniform,GPU,"P | P | P | P | P | P",64,10,0.014368,0,0.094828,0.023648,0.193518,0.132844
3,double,uniform,GPU,"P | P | P | P | P | P",64,11,0.008384,0,0.094678,0.021088,0.185508,0.12415
3,double,uniform,GPU,"P | P | P | P | P | P",64,12,0.015424,0,0.094408,0.023872,0.192498,0.133704
3,double,uniform,GPU,"P | P | P | P | P | P",64,13,0.014976,0,0.096249,0.022048,0.194267,0.133273
3,double,uniform,GPU,"P | P | P | P | P | P",64,14,0.015008,0,0.095119,0.0208,0.192308,0.130927
3,double,uniform,GPU,"P | P | P | P | P | P",64,15,0.017408,0,0.091589,0.024832,0.186418,0.133829
3,double,uniform,GPU,"P | P | P | P | P | P",64,16,0.014048,0,0.094468,0.022176,0.191338,0.130692
3,double,uniform,GPU,"P | P | P | P | P | P",64,17,0.009376,0,0.094679,0.021856,0.186738,0.125911
3,double,uniform,GPU,"P | P | P | P | P | P",64,18,0.014144,0,0.095179,0.020928,0.190108,0.130251
3,double,uniform,GPU,"P | P | P | P | P | P",64,19,0.015712,0,0.095119,0.02224,0.193877,0.133071
3,double,uniform,GPU,"P | P | P | P | P | P",64,20,0.017216,0,0.094919,0.023968,0.200507,0.136103
3,double,uniform,GPU,"P | P | P | P | P | P",64,21,0.014752,0,0.094129,0.022912,0.188358,0.131793
3,double,uniform,GPU,"P | P | P | P | P | P",64,22,0.013792,0,0.095478,0.022976,0.194038,0.132246
3,double,uniform,GPU,"P | P | P | P | P | P",64,23,0.01648,0,0.094978,0.02336,0.201158,0.134818
3,double,uniform,GPU,"P | P | P | P | P | P",64,24,0.014368,0,0.094739,0.021376,0.191027,0.130483
3,double,uniform,GPU,"P | P | P | P | P | P",64,25,0.015328,0,0.09479,0.022976,0.194378,0.133094
3,double,uniform,GPU,"P | P | P | P | P | P",64,26,0.014688,0,0.091469,0.024768,0.181588,0.130925
3,double,uniform,GPU,"P | P | P | P | P | P",64,27,0.014848,0,0.095329,0.02112,0.191178,0.131297
3,double,uniform,GPU,"P | P | P | P | P | P",64,28,0.014336,0,0.095439,0.02304,0.193718,0.132815
3,double,uniform,GPU,"P | P | P | P | P | P",64,29,0.009376,0,0.09503,0.02112,0.187758,0.125526
3,double,uniform,GPU,"P | P | P | P | P | P",64,30,0.015648,0,0.09534,0.027008,0.198347,0.137996
3,double,uniform,GPU,"P | P | P | P | P | P",64,31,0.01696,0,0.094799,0.021792,0.193628,0.133551
3,double,uniform,GPU,"P | P | P | P | P | P",64,32,0.009632,0,0.09543,0.022304,0.187598,0.127366
3,double,uniform,GPU,"P | P | P | P | P | P",64,33,0.01504,0,0.094949,0.021696,0.190608,0.131685
3,double,uniform,GPU,"P | P | P | P | P | P",64,34,0.013664,0,0.095179,0.021568,0.194868,0.130411
3,double,uniform,GPU,"P | P | P | P | P | P",64,35,0.014752,0,0.095238,0.022368,0.192808,0.132358
3,double,uniform,GPU,"P | P | P | P | P | P",64,36,0.009184,0,0.094829,0.01968,0.183488,0.123693
3,double,uniform,GPU,"P | P | P | P | P | P",64,37,0.014528,0,0.094689,0.023232,0.191648,0.132449
