dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,0,0.081344,0.00327,0.060819,73.6681,273.713,73.8135
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,1,0.020672,0.00163,0.026219,0.048096,0.196498,0.096617
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,2,0.021024,0.00168,0.02451,0.048192,0.194498,0.095406
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,3,0.01872,0.001581,0.02401,0.047424,0.190688,0.091735
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,4,0.014016,0.00154,0.02454,0.048032,0.187698,0.088128
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,5,0.020384,0.00155,0.024459,0.04752,0.193038,0.093913
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,6,0.01936,0.001619,0.02355,0.046944,0.189758,0.091473
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,7,0.017472,0.00156,0.024339,0.048928,0.190208,0.092299
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,8,0.019488,0.00156,0.023999,0.049152,0.193038,0.094199
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,9,0.019296,0.0018,0.02366,0.047072,0.191758,0.091828
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,10,0.101184,0.0016,0.02436,0.047968,0.271117,0.175112
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,11,0.02016,0.001479,0.02449,0.048256,0.195588,0.094385
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,12,0.018464,0.00159,0.02416,0.047328,0.190098,0.091542
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,13,0.017696,0.00172,0.02421,0.048608,0.190148,0.092234
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,14,0.019968,0.00156,0.03163,0.047136,0.198838,0.100294
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,15,0.018464,0.00164,0.022229,0.048672,0.410236,0.091005
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,16,0.019744,0.00171,0.02187,0.047872,0.181158,0.091196
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,17,0.020832,0.00163,0.02438,0.048832,0.194617,0.095674
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,18,0.021248,0.00149,0.0242,0.048096,0.193038,0.095034
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,19,0.019456,0.001621,0.02409,0.048864,0.192148,0.094031
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,20,0.01888,0.00154,0.024109,0.045856,0.190648,0.090385
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,21,0.019584,0.00153,0.02489,0.048448,0.192238,0.094452
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,22,0.012416,0.00155,0.02107,0.048448,0.174707,0.083484
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,23,0.019072,0.001709,0.024159,0.048192,0.192948,0.093132
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,24,0.017152,0.00153,0.02473,0.04736,0.188338,0.090772
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,25,0.018272,0.00157,0.02437,0.04624,0.189137,0.090452
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,26,0.021024,0.001491,0.02459,0.04784,0.193648,0.094945
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,27,0.018272,0.00168,0.024389,0.046304,0.191148,0.090645
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,28,0.020352,0.00163,0.02072,0.049792,0.256657,0.092494
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,29,0.018272,0.001671,0.02368,0.048096,0.189958,0.091719
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,30,0.018368,0.00154,0.023849,0.046432,0.188978,0.090189
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,31,0.019776,0.00154,0.02409,0.049024,0.192178,0.09443
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,32,0.019744,0.00146,0.02445,0.047232,0.190558,0.092886
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,33,0.01776,0.00154,0.024179,0.046976,0.188428,0.090455
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,34,0.017536,0.00166,0.023959,0.047904,0.189888,0.091059
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,35,0.0208,0.00155,0.02406,0.048704,0.193648,0.095114
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,36,0.021088,0.001572,0.02447,0.048352,0.193388,0.095482
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,37,0.012544,0.001569,0.024549,0.047776,0.185808,0.086438
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,38,0.01744,0.00158,0.02399,0.047616,0.189828,0.090626
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,39,0.01776,0.00158,0.024389,0.0488,0.191738,0.092529
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,40,0.021184,0.00175,0.02449,0.04944,0.195748,0.096864
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,41,0.021088,0.00157,0.02421,0.047712,0.192778,0.09458
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,42,0.021536,0.00174,0.02377,0.047904,0.192888,0.09495
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,43,0.020896,0.001601,0.02443,0.048384,0.307356,0.095311
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,44,0.011776,0.00155,0.02422,0.048992,0.183258,0.086538
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,45,0.013792,0.001489,0.02406,0.046272,0.184077,0.085613
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,46,0.020672,0.00164,0.024329,0.046912,0.190978,0.093553
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,47,0.02,0.001542,0.024079,0.048672,0.192527,0.094293
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,48,0.009792,0.001668,0.023939,0.047552,0.181997,0.082951
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,49,0.018464,0.001519,0.02495,0.049248,0.193267,0.094181
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,50,0.02,0.0017,0.023669,0.047648,0.194078,0.093017
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,51,0.018624,0.001611,0.023849,0.04688,0.189327,0.090964
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,52,0.0184,0.00156,0.024149,0.047168,0.189638,0.091277
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,53,0.019328,0.001549,0.02405,0.047328,0.188857,0.092255
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,54,0.020032,0.00154,0.02369,0.046624,0.188978,0.091886
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,55,0.018688,0.001589,0.023369,0.047616,0.189018,0.091262
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,56,0.018464,0.00157,0.02413,0.048544,0.190708,0.092708
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,57,0.021472,0.00155,0.02356,0.046944,0.191138,0.093526
