dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,0,0.074336,0.00308,0.087859,212.205,212.484,212.371
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,1,0.011872,0.00163,0.045969,0.017568,0.138868,0.077039
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,2,0.011008,0.00147,0.03735,0.01392,0.117589,0.063748
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,3,0.020352,0.00147,0.043119,0.01632,0.143778,0.081261
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,4,0.020608,0.00152,0.04372,0.014112,0.140638,0.07996
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,5,0.018432,0.001519,0.04362,0.012704,0.139108,0.076275
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,6,0.021152,0.001431,0.042169,0.012608,0.139399,0.07736
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,7,0.018272,0.00165,0.043981,0.014752,0.141709,0.078655
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,8,0.020512,0.00148,0.043129,0.012992,0.139618,0.078113
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,9,0.018656,0.001491,0.044139,0.013792,0.141578,0.078078
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,10,0.012,0.00152,0.04403,0.015136,0.136398,0.072686
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,11,0.020128,0.00151,0.0436,0.013088,0.140438,0.078326
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,12,0.019904,0.00143,0.04337,0.013632,0.140199,0.078336
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,13,0.01888,0.001411,0.043148,0.01296,0.138818,0.076399
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,14,0.021632,0.0016,0.050358,0.014208,0.149909,0.087798
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,15,0.01408,0.00143,0.043309,0.013664,0.134388,0.072483
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,16,0.021216,0.00146,0.044171,0.014016,0.143419,0.080863
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,17,0.0208,0.00148,0.043169,0.012832,0.141348,0.078281
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,18,0.020672,0.001631,0.04369,0.013696,0.142768,0.079689
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,19,0.020512,0.00144,0.048979,0.013152,0.146068,0.084083
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,20,0.02064,0.00161,0.04342,0.014272,0.143779,0.079942
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,21,0.022144,0.0014,0.043679,0.01408,0.142488,0.081303
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,22,0.020096,0.00143,0.04311,0.014624,0.142849,0.07926
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,23,0.02096,0.00147,0.044309,0.013888,0.151588,0.080627
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,24,0.017024,0.001521,0.042831,0.012128,0.136958,0.073504
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,25,0.02048,0.00141,0.04414,0.012256,0.141938,0.078286
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,26,0.021024,0.00146,0.043319,0.01232,0.140529,0.078123
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,27,0.020736,0.00166,0.03622,0.016032,0.128539,0.074648
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,28,0.020608,0.00152,0.042979,0.0136,0.140739,0.078707
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,29,0.020864,0.00157,0.04379,0.013856,0.143149,0.08008
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,30,0.01968,0.001511,0.04445,0.014336,0.149499,0.079977
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,31,0.01792,0.00144,0.043639,0.013472,0.139769,0.076471
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,32,0.021856,0.0015,0.043619,0.013472,0.147029,0.080447
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,33,0.01888,0.0016,0.03648,0.016992,0.127848,0.073952
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,34,0.019008,0.001521,0.04367,0.012384,0.139219,0.076583
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,35,0.02112,0.00138,0.047379,0.015936,0.146778,0.085815
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,36,0.01184,0.00148,0.04428,0.01392,0.133959,0.07152
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,37,0.02016,0.00144,0.04358,0.014176,0.140768,0.079356
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,38,0.019328,0.00148,0.04312,0.012032,0.138629,0.07596
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,39,0.019872,0.001511,0.044361,0.013792,0.141519,0.079536
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,40,0.013664,0.001569,0.04302,0.014944,0.134579,0.073197
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,41,0.020192,0.001469,0.044559,0.014752,0.142929,0.080972
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,42,0.01872,0.00148,0.043859,0.013664,0.139279,0.077723
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,43,0.019904,0.00146,0.04359,0.016448,0.144249,0.081402
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,44,0.021312,0.00144,0.043609,0.013152,0.142739,0.079513
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,45,0.021248,0.00149,0.04259,0.011872,0.138398,0.0772
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,46,0.013984,0.00157,0.04347,0.014496,0.134719,0.07352
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,47,0.01968,0.00159,0.04309,0.01184,0.139539,0.0762
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,48,0.01856,0.001571,0.04331,0.013792,0.138709,0.077233
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,49,0.013728,0.00145,0.043309,0.01296,0.135048,0.071447
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,50,0.019776,0.001461,0.04324,0.014432,0.141218,0.078909
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,51,0.02,0.00154,0.043239,0.01552,0.143328,0.080299
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,52,0.013824,0.001509,0.043689,0.01312,0.131399,0.072142
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,53,0.012704,0.001509,0.04279,0.013312,0.132889,0.070315
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,54,0.020416,0.001459,0.042819,0.013088,0.140978,0.077782
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,55,0.013856,0.00148,0.04329,0.013536,0.135268,0.072162
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,56,0.020064,0.00146,0.04329,0.015936,0.142078,0.08075
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,57,0.019808,0.00158,0.04412,0.020832,0.148979,0.08634
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,58,0.022272,0.00147,0.03569,0.016096,0.128589,0.075528
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,59,0.019584,0.001599,0.043359,0.014176,0.142068,0.078718
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,60,0.019872,0.00152,0.042779,0.012832,0.140039,0.077003
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,61,0.020256,0.001459,0.043491,0.013888,0.142838,0.079094
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,62,0.010144,0.00144,0.044139,0.014112,0.130948,0.069835
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,63,0.01984,0.001479,0.046629,0.0128,0.143258,0.080748
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,64,0.019968,0.00147,0.04368,0.012256,0.139418,0.077374
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,65,0.018912,0.001451,0.04285,0.01328,0.139609,0.076493
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,66,0.013696,0.00154,0.04359,0.012672,0.132839,0.071498
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,67,0.013824,0.00147,0.04793,0.013792,0.139229,0.077016
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,68,0.019488,0.00145,0.04372,0.015552,0.142658,0.08021
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,69,0.020672,0.001461,0.04343,0.014272,0.141629,0.079835
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,70,0.021696,0.001521,0.043359,0.013632,0.142679,0.080208
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,71,0.02048,0.0015,0.04366,0.01328,0.224657,0.07892
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,72,0.020864,0.001531,0.04286,0.013056,0.140928,0.078311
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,73,0.020704,0.0015,0.04368,0.011552,0.140429,0.077436
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",64,74,0.0208,0.00152,0.042919,0.013344,0.141319,0.078583
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,0,0.043008,0.00185,0.08736,0.039328,0.233687,0.171546
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,1,0.026688,0.00182,0.079918,0.031072,0.200288,0.139498
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,2,0.027168,0.00164,0.07998,0.03168,0.200657,0.140468
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,3,0.027296,0.001629,0.079558,0.031776,0.202228,0.140259
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,4,0.02672,0.001572,0.079159,0.030464,0.197928,0.137915
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,5,0.034112,0.001481,0.078468,0.032608,0.208548,0.146669
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,6,0.027904,0.001742,0.080169,0.028448,0.198788,0.138263
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,7,0.026368,0.00145,0.081148,0.03232,0.202068,0.141286
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,8,0.026048,0.00157,0.080148,0.032128,0.201098,0.139894
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,9,0.025952,0.00154,0.079868,0.031776,0.200168,0.139136
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,10,0.02624,0.00167,0.079329,0.03248,0.200818,0.139719
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,11,0.02736,0.00153,0.078649,0.02864,0.195728,0.136179
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,12,0.027264,0.00159,0.079929,0.030048,0.199488,0.138831
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,13,0.027136,0.00158,0.07962,0.030208,0.202878,0.138544
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,14,0.02688,0.001749,0.07959,0.03008,0.198778,0.138299
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,15,0.033984,0.00152,0.07879,0.027648,0.202887,0.141942
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,16,0.028128,0.001571,0.078829,0.030432,0.199397,0.13896
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,17,0.026816,0.00165,0.079338,0.032992,0.200168,0.140796
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,18,0.027296,0.0018,0.078558,0.03056,0.198318,0.138214
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,19,0.02848,0.0016,0.07851,0.029696,0.190178,0.138286
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,20,0.028896,0.00164,0.079488,0.029984,0.201158,0.140008
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,21,0.033952,0.00149,0.078629,0.030304,0.204937,0.144375
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,22,0.027424,0.001481,0.07953,0.032192,0.202098,0.140627
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,23,0.02592,0.0015,0.07967,0.032928,0.200088,0.140018
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,24,0.10608,0.001559,0.077958,0.030304,0.276077,0.215901
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,25,0.027072,0.00156,0.080118,0.029248,0.199398,0.137998
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,26,0.027328,0.001501,0.080199,0.031616,0.201668,0.140644
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,27,0.027136,0.00148,0.07878,0.028864,0.197127,0.13626
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,28,0.02752,0.00155,0.079119,0.031712,0.199628,0.139901
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,29,0.02624,0.00159,0.078869,0.029824,0.197938,0.136523
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,30,0.026016,0.081319,0.078699,0.032576,0.278637,0.21861
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,31,0.027072,0.00159,0.07989,0.03248,0.201088,0.141032
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,32,0.026912,0.00149,0.07904,0.03264,0.201938,0.140082
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,33,0.03376,0.001821,0.07939,0.0304,0.205968,0.145371
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,34,0.035072,0.00148,0.072389,0.031872,0.194038,0.140813
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,35,0.026304,0.00159,0.07961,0.0312,0.200138,0.138704
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,36,0.027264,0.00162,0.079999,0.03168,0.201518,0.140563
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,37,0.033728,0.00161,0.078728,0.030656,0.206138,0.144722
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,38,0.026976,0.00153,0.07854,0.029056,0.196449,0.136102
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,39,0.027008,0.00176,0.078489,0.031584,0.197748,0.138841
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,40,0.027328,0.001511,0.079669,0.030112,0.200358,0.13862
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,41,0.027296,0.00146,0.079759,0.032736,0.202268,0.141251
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,42,0.026048,0.00159,0.07887,0.032544,0.199438,0.139052
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,43,0.027232,0.00157,0.198387,0.02944,0.318316,0.256629
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,44,0.027904,0.00149,0.080088,0.029984,0.200028,0.139466
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,45,0.027104,0.00155,0.079358,0.02864,0.199238,0.136652
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,46,0.02592,0.00155,0.0795,0.031712,0.199758,0.138682
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,47,0.026464,0.0015,0.078668,0.02928,0.195898,0.135912
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,48,0.028096,0.001601,0.078848,0.0304,0.198388,0.138945
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,49,0.026048,0.00155,0.078408,0.02992,0.196728,0.135926
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,50,0.02688,0.00152,0.079519,0.032192,0.200968,0.140111
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,51,0.034176,0.001579,0.07891,0.030688,0.206418,0.145353
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,52,0.026272,0.001729,0.080198,0.031488,0.200398,0.139687
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,53,0.027296,0.001521,0.086559,0.03024,0.205218,0.145616
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,54,0.026368,0.00154,0.079739,0.029312,0.197997,0.136959
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,55,0.026496,0.00162,0.078309,0.031424,0.198688,0.137849
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",128,56,0.033856,0.001631,0.07884,0.031616,0.207227,0.145943
