dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,0,0.076064,0.00312,0.088179,211.392,211.667,211.559
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,1,0.020704,0.00151,0.04612,0.016832,0.147188,0.085166
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,2,0.01856,0.00137,0.043819,0.01216,0.139558,0.075909
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,3,0.020832,0.00126,0.042959,0.01536,0.147349,0.080411
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,4,0.019904,0.00144,0.046289,0.012576,0.143198,0.080209
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,5,0.012352,0.001399,0.04358,0.016096,0.136308,0.073427
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,6,0.020608,0.00144,0.043829,0.014272,0.141999,0.080149
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,7,0.018528,0.0013,0.04411,0.01456,0.142358,0.078498
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,8,0.020512,0.00125,0.043519,0.014528,0.143219,0.079809
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,9,0.01968,0.001319,0.04369,0.01232,0.140268,0.077009
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,10,0.021376,0.001279,0.04384,0.015232,0.143318,0.081727
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,11,0.011328,0.001321,0.03656,0.016256,0.118079,0.065465
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,12,0.019776,0.00129,0.042559,0.0136,0.139218,0.077225
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,13,0.020032,0.001291,0.04437,0.014432,0.143489,0.080125
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,14,0.019232,0.00124,0.0435,0.013472,0.139519,0.077444
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,15,0.01856,0.0017,0.044028,0.015232,0.142538,0.07952
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,16,0.020672,0.00134,0.04414,0.014048,0.142079,0.0802
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,17,0.021536,0.00126,0.04264,0.013696,0.140548,0.079132
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,18,0.02144,0.00128,0.04344,0.015552,0.142009,0.081712
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",64,19,0.017632,0.001279,0.043601,0.0136,0.139048,0.076112
