dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",64,0,0.287808,0.00255,0.246387,202.814,203.458,203.351
3,double,uniform,CPU,"D | D | D | D | N | D",64,1,0.232992,0.001589,0.195838,0.019392,0.500225,0.449811
3,double,uniform,CPU,"D | D | D | D | N | D",64,2,0.22848,0.001741,0.192157,0.016736,0.484025,0.439114
3,double,uniform,CPU,"D | D | D | D | N | D",64,3,0.224672,0.00169,0.191119,0.014528,0.476516,0.432009
3,double,uniform,CPU,"D | D | D | D | N | D",64,4,0.225984,0.00151,0.191698,0.014912,0.477535,0.434104
3,double,uniform,CPU,"D | D | D | D | N | D",64,5,0.464832,0.00156,0.190809,0.015008,0.716744,0.672209
3,double,uniform,CPU,"D | D | D | D | N | D",64,6,0.224928,0.00157,0.212717,0.014144,0.495435,0.453359
3,double,uniform,CPU,"D | D | D | D | N | D",64,7,0.230368,0.00155,0.190658,0.01488,0.480085,0.437456
3,double,uniform,CPU,"D | D | D | D | N | D",64,8,0.221888,0.00165,0.191448,0.016896,0.484515,0.431882
3,double,uniform,CPU,"D | D | D | D | N | D",64,9,0.230976,0.00151,0.192138,0.01568,0.485826,0.440304
3,double,uniform,CPU,"D | D | D | D | N | D",64,10,0.23584,0.001641,0.190498,0.015616,0.488186,0.443595
3,double,uniform,CPU,"D | D | D | D | N | D",64,11,0.226304,0.001601,0.191749,0.015584,0.478375,0.435238
3,double,uniform,CPU,"D | D | D | D | N | D",64,12,0.226624,0.00153,0.284127,0.016704,0.572235,0.528985
3,double,uniform,CPU,"D | D | D | D | N | D",64,13,0.229376,0.00144,0.192208,0.01584,0.484996,0.438864
3,double,uniform,CPU,"D | D | D | D | N | D",64,14,0.226272,0.00147,0.193269,0.01504,0.480536,0.436051
3,double,uniform,CPU,"D | D | D | D | N | D",64,15,0.226272,0.001489,0.190808,0.01552,0.478155,0.434089
3,double,uniform,CPU,"D | D | D | D | N | D",64,16,0.225472,0.001551,0.190418,0.01488,0.477125,0.432321
3,double,uniform,CPU,"D | D | D | D | N | D",64,17,0.22256,0.001551,0.189679,0.01472,0.470956,0.42851
3,double,uniform,CPU,"D | D | D | D | N | D",64,18,0.233056,0.001539,0.192709,0.014656,0.483796,0.44196
3,double,uniform,CPU,"D | D | D | D | N | D",64,19,0.224864,0.001541,0.191627,0.016256,0.477825,0.434288
3,double,uniform,CPU,"D | D | D | D | N | D",64,20,0.234016,0.0015,0.192188,0.015328,0.488855,0.443032
3,double,uniform,CPU,"D | D | D | D | N | D",64,21,0.22416,0.001459,0.191208,0.016512,0.476306,0.433339
3,double,uniform,CPU,"D | D | D | D | N | D",64,22,0.22576,0.001559,0.191799,0.014368,0.478116,0.433486
3,double,uniform,CPU,"D | D | D | D | N | D",64,23,0.22544,0.001541,0.191507,0.015232,0.476405,0.43372
3,double,uniform,CPU,"D | D | D | D | N | D",64,24,0.225888,0.001469,0.191028,0.015232,0.481026,0.433617
3,double,uniform,CPU,"D | D | D | D | N | D",64,25,0.234944,0.00147,0.191388,0.014144,0.485556,0.441946
3,double,uniform,CPU,"D | D | D | D | N | D",64,26,0.228096,0.00168,0.191568,0.015712,0.480555,0.437056
3,double,uniform,CPU,"D | D | D | D | N | D",64,27,0.225312,0.00166,0.190478,0.01536,0.477605,0.43281
3,double,uniform,CPU,"D | D | D | D | N | D",64,28,0.22848,0.001371,0.191148,0.015904,0.481076,0.436903
3,double,uniform,CPU,"D | D | D | D | N | D",64,29,0.228224,0.001451,0.190589,0.015168,0.479366,0.435432
3,double,uniform,CPU,"D | D | D | D | N | D",64,30,0.227936,0.00164,0.190168,0.014816,0.479665,0.43456
3,double,uniform,CPU,"D | D | D | D | N | D",64,31,0.2264,0.00148,0.190819,0.015424,0.477526,0.434123
3,double,uniform,CPU,"D | D | D | D | N | D",64,32,0.228032,0.00148,0.191038,0.014624,0.479055,0.435174
3,double,uniform,CPU,"D | D | D | D | N | D",64,33,0.228928,0.00147,0.191767,0.023936,0.491625,0.446101
3,double,uniform,CPU,"D | D | D | D | N | D",64,34,0.225824,0.00179,0.190728,0.015648,0.480555,0.43399
3,double,uniform,CPU,"D | D | D | D | N | D",64,35,0.22688,0.00148,0.190729,0.016,0.478406,0.435089
3,double,uniform,CPU,"D | D | D | D | N | D",64,36,0.227936,0.001481,0.190937,0.015904,0.481236,0.436258
3,double,uniform,CPU,"D | D | D | D | N | D",64,37,0.236608,0.001451,0.192759,0.016,0.492736,0.446818
3,double,uniform,CPU,"D | D | D | D | N | D",64,38,0.226816,0.00148,0.190108,0.015392,0.476796,0.433796
3,double,uniform,CPU,"D | D | D | D | N | D",64,39,0.23728,0.00155,0.191028,0.015584,0.489075,0.445442
3,double,uniform,CPU,"D | D | D | D | N | D",64,40,0.224128,0.00147,0.189428,0.0152,0.471926,0.430226
3,double,uniform,CPU,"D | D | D | D | N | D",64,41,0.233856,0.00149,0.191428,0.014464,0.485615,0.441238
3,double,uniform,CPU,"D | D | D | D | N | D",64,42,0.234816,0.00161,0.192487,0.015456,0.488195,0.444369
3,double,uniform,CPU,"D | D | D | D | N | D",64,43,0.226528,0.00145,0.191318,0.01616,0.479636,0.435456
3,double,uniform,CPU,"D | D | D | D | N | D",64,44,0.456992,0.001499,0.190938,0.01456,0.709153,0.663989
3,double,uniform,CPU,"D | D | D | D | N | D",64,45,0.227008,0.00147,0.195468,0.015808,0.483345,0.439754
3,double,uniform,CPU,"D | D | D | D | N | D",64,46,0.22576,0.001501,0.190739,0.015168,0.477385,0.433168
3,double,uniform,CPU,"D | D | D | D | N | D",64,47,0.230752,0.001411,0.193468,0.015296,0.487075,0.440927
3,double,uniform,CPU,"D | D | D | D | N | D",64,48,0.23264,0.00145,0.191038,0.015008,0.488015,0.440136
3,double,uniform,CPU,"D | D | D | D | N | D",64,49,0.227456,0.00155,0.190447,0.015168,0.479795,0.434621
3,double,uniform,CPU,"D | D | D | D | N | D",64,50,0.231104,0.0015,0.190519,0.020448,0.488426,0.443571
3,double,uniform,CPU,"D | D | D | D | N | D",64,51,0.22448,0.00173,0.190878,0.015808,0.475665,0.432896
3,double,uniform,CPU,"D | D | D | D | N | D",64,52,0.231968,0.00151,0.190828,0.015488,0.483985,0.439794
3,double,uniform,CPU,"D | D | D | D | N | D",64,53,0.225632,0.00164,0.190998,0.013856,0.476236,0.432126
3,double,uniform,CPU,"D | D | D | D | N | D",64,54,0.22752,0.001529,0.190238,0.015168,0.478406,0.434455
3,double,uniform,CPU,"D | D | D | D | N | D",64,55,0.232064,0.00148,0.189928,0.01504,0.482156,0.438512
3,double,uniform,CPU,"D | D | D | D | N | D",64,56,0.313184,0.001491,0.190678,0.016,0.566434,0.521353
3,double,uniform,CPU,"D | D | D | D | N | D",64,57,0.233536,0.001589,0.192569,0.014688,0.485376,0.442382
3,double,uniform,CPU,"D | D | D | D | N | D",64,58,0.225152,0.00154,0.191597,0.013984,0.479495,0.432273
3,double,uniform,CPU,"D | D | D | D | N | D",64,59,0.281888,0.00149,0.191418,0.01568,0.532495,0.490476
3,double,uniform,CPU,"D | D | D | D | N | D",64,60,0.22432,0.001549,0.190328,0.015488,0.476625,0.431685
3,double,uniform,CPU,"D | D | D | D | N | D",64,61,0.226208,0.001669,0.194418,0.015616,0.484216,0.437911
3,double,uniform,CPU,"D | D | D | D | N | D",64,62,0.224448,0.001461,0.190109,0.015616,0.475066,0.431634
3,double,uniform,CPU,"D | D | D | D | N | D",64,63,0.227488,0.001529,0.190298,0.015968,0.477815,0.435283
3,double,uniform,CPU,"D | D | D | D | N | D",64,64,0.305504,0.00145,0.190239,0.014432,0.555495,0.511625
3,double,uniform,CPU,"D | D | D | D | N | D",64,65,0.229568,0.00145,0.192019,0.015776,0.482206,0.438813
3,double,uniform,CPU,"D | D | D | D | N | D",64,66,0.228992,0.00163,0.191438,0.015392,0.481256,0.437452
3,double,uniform,CPU,"D | D | D | D | N | D",64,67,0.237664,0.00147,0.191158,0.016,0.490775,0.446292
3,double,uniform,CPU,"D | D | D | D | N | D",64,68,0.227872,0.0016,0.191198,0.014592,0.480676,0.435262
3,double,uniform,CPU,"D | D | D | D | N | D",64,69,0.234048,0.00148,0.191297,0.0152,0.487105,0.442025
3,double,uniform,CPU,"D | D | D | D | N | D",64,70,0.22496,0.00151,0.190438,0.015456,0.478275,0.432364
3,double,uniform,CPU,"D | D | D | D | N | D",64,71,0.228,0.00154,0.193208,0.015936,0.485386,0.438684
3,double,uniform,CPU,"D | D | D | D | N | D",64,72,0.227296,0.001791,0.191089,0.016512,0.483596,0.436688
3,double,uniform,CPU,"D | D | D | D | N | D",64,73,0.219712,0.00162,0.185708,0.015808,0.458325,0.422848
3,double,uniform,CPU,"D | D | D | D | N | D",64,74,0.221312,0.0015,0.185468,0.0176,0.461935,0.42588
3,double,uniform,CPU,"D | D | D | D | N | D",128,0,1.57837,0.002061,1.49992,0.065952,3.21468,3.1463
3,double,uniform,CPU,"D | D | D | D | N | D",128,1,1.58173,0.00171,1.49229,0.062784,3.18588,3.13851
3,double,uniform,CPU,"D | D | D | D | N | D",128,2,1.5345,0.001699,1.48544,0.06192,3.1341,3.08355
3,double,uniform,CPU,"D | D | D | D | N | D",128,3,1.60131,0.001679,1.48303,0.058848,3.19285,3.14486
3,double,uniform,CPU,"D | D | D | D | N | D",128,4,1.51914,0.00165,1.48611,0.05888,3.11419,3.06578
3,double,uniform,CPU,"D | D | D | D | N | D",128,5,1.52845,0.00158,1.4866,0.061984,3.12854,3.07861
3,double,uniform,CPU,"D | D | D | D | N | D",128,6,1.528,0.00168,1.48817,0.060448,3.12992,3.07829
3,double,uniform,CPU,"D | D | D | D | N | D",128,7,1.54666,0.002199,1.50252,0.068,3.19237,3.11937
3,double,uniform,CPU,"D | D | D | D | N | D",128,8,1.55069,0.002179,1.50134,0.066912,3.19279,3.12112
3,double,uniform,CPU,"D | D | D | D | N | D",128,9,1.54451,0.00166,1.48283,0.060928,3.13775,3.08993
