dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       2.567037
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       2.050734
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       2.092778
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       2.051712
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       2.013470
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       1.988357
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       1.986520
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       2.018249
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       2.060045
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       1.963553
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       2.060674
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       2.008263
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       2.094364
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       2.067723
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       2.138264
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       2.094312
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       2.171640
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       1.991143
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       1.975857
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.031580
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      44.224886
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      44.236030
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      43.415278
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      44.302885
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      44.028944
