dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"D | D | D | D",64,0,       0.189691
2,float,uniform,PoisFFT,"D | D | D | D",64,1,       0.184285
2,float,uniform,PoisFFT,"D | D | D | D",64,2,       0.184332
2,float,uniform,PoisFFT,"D | D | D | D",64,3,       0.184178
2,float,uniform,PoisFFT,"D | D | D | D",64,4,       0.184134
2,float,uniform,PoisFFT,"D | D | D | D",64,5,       0.184251
2,float,uniform,PoisFFT,"D | D | D | D",64,6,       0.184186
2,float,uniform,PoisFFT,"D | D | D | D",64,7,       0.184230
2,float,uniform,PoisFFT,"D | D | D | D",64,8,       0.184142
2,float,uniform,PoisFFT,"D | D | D | D",64,9,       0.184265
2,float,uniform,PoisFFT,"D | D | D | D",64,10,       0.184142
2,float,uniform,PoisFFT,"D | D | D | D",64,11,       0.184349
2,float,uniform,PoisFFT,"D | D | D | D",64,12,       0.184126
2,float,uniform,PoisFFT,"D | D | D | D",64,13,       0.184245
2,float,uniform,PoisFFT,"D | D | D | D",64,14,       0.184253
2,float,uniform,PoisFFT,"D | D | D | D",64,15,       0.184204
2,float,uniform,PoisFFT,"D | D | D | D",64,16,       0.184288
2,float,uniform,PoisFFT,"D | D | D | D",64,17,       0.184165
2,float,uniform,PoisFFT,"D | D | D | D",64,18,       0.193370
2,float,uniform,PoisFFT,"D | D | D | D",64,19,       0.177363
2,float,uniform,PoisFFT,"D | D | D | D",128,0,       2.246038
2,float,uniform,PoisFFT,"D | D | D | D",128,1,       2.220913
2,float,uniform,PoisFFT,"D | D | D | D",128,2,       2.239011
2,float,uniform,PoisFFT,"D | D | D | D",128,3,       2.237703
2,float,uniform,PoisFFT,"D | D | D | D",128,4,       2.238019
2,float,uniform,PoisFFT,"D | D | D | D",128,5,       2.238295
2,float,uniform,PoisFFT,"D | D | D | D",128,6,       2.257251
2,float,uniform,PoisFFT,"D | D | D | D",128,7,       2.236842
2,float,uniform,PoisFFT,"D | D | D | D",128,8,       2.238086
2,float,uniform,PoisFFT,"D | D | D | D",128,9,       2.239631
2,float,uniform,PoisFFT,"D | D | D | D",128,10,       2.236768
2,float,uniform,PoisFFT,"D | D | D | D",128,11,       2.237900
2,float,uniform,PoisFFT,"D | D | D | D",128,12,       2.237585
2,float,uniform,PoisFFT,"D | D | D | D",128,13,       2.249647
2,float,uniform,PoisFFT,"D | D | D | D",128,14,       2.237358
2,float,uniform,PoisFFT,"D | D | D | D",128,15,       2.238078
2,float,uniform,PoisFFT,"D | D | D | D",128,16,       2.238295
2,float,uniform,PoisFFT,"D | D | D | D",128,17,       2.237511
2,float,uniform,PoisFFT,"D | D | D | D",128,18,       2.238449
2,float,uniform,PoisFFT,"D | D | D | D",128,19,       2.238501
2,float,uniform,PoisFFT,"D | D | D | D",192,0,      11.375008
2,float,uniform,PoisFFT,"D | D | D | D",192,1,      11.301504
2,float,uniform,PoisFFT,"D | D | D | D",192,2,      11.302529
2,float,uniform,PoisFFT,"D | D | D | D",192,3,      11.298034
2,float,uniform,PoisFFT,"D | D | D | D",192,4,      11.295793
2,float,uniform,PoisFFT,"D | D | D | D",192,5,      11.278479
2,float,uniform,PoisFFT,"D | D | D | D",192,6,      11.299443
2,float,uniform,PoisFFT,"D | D | D | D",192,7,      11.289958
2,float,uniform,PoisFFT,"D | D | D | D",192,8,      11.299308
2,float,uniform,PoisFFT,"D | D | D | D",192,9,      11.413664
