dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ds",256,13,       0.004759
1,float,uniform,PoisFFT,"Ns | Ds",256,14,       0.003079
1,float,uniform,PoisFFT,"Ns | Ds",256,15,       0.003508
1,float,uniform,PoisFFT,"Ns | Ds",256,16,       0.003500
1,float,uniform,PoisFFT,"Ns | Ds",256,17,       0.002756
1,float,uniform,PoisFFT,"Ns | Ds",256,18,       0.003591
1,float,uniform,PoisFFT,"Ns | Ds",256,19,       0.003416
1,float,uniform,PoisFFT,"Ns | Ds",320,0,       0.004479
1,float,uniform,PoisFFT,"Ns | Ds",320,1,       0.004108
1,float,uniform,PoisFFT,"Ns | Ds",320,2,       0.004008
1,float,uniform,PoisFFT,"Ns | Ds",320,3,       0.003998
1,float,uniform,PoisFFT,"Ns | Ds",320,4,       0.003987
1,float,uniform,PoisFFT,"Ns | Ds",320,5,       0.003961
1,float,uniform,PoisFFT,"Ns | Ds",320,6,       0.003952
1,float,uniform,PoisFFT,"Ns | Ds",320,7,       0.003974
1,float,uniform,PoisFFT,"Ns | Ds",320,8,       0.003998
1,float,uniform,PoisFFT,"Ns | Ds",320,9,       0.003979
1,float,uniform,PoisFFT,"Ns | Ds",320,10,       0.003981
1,float,uniform,PoisFFT,"Ns | Ds",320,11,       0.003982
1,float,uniform,PoisFFT,"Ns | Ds",320,12,       0.003987
1,float,uniform,PoisFFT,"Ns | Ds",320,13,       0.003972
1,float,uniform,PoisFFT,"Ns | Ds",320,14,       0.004350
1,float,uniform,PoisFFT,"Ns | Ds",320,15,       0.004245
1,float,uniform,PoisFFT,"Ns | Ds",320,16,       0.004276
1,float,uniform,PoisFFT,"Ns | Ds",320,17,       0.004266
1,float,uniform,PoisFFT,"Ns | Ds",320,18,       0.004265
1,float,uniform,PoisFFT,"Ns | Ds",320,19,       0.004246
1,float,uniform,PoisFFT,"Ns | Ds",384,0,       0.005842
1,float,uniform,PoisFFT,"Ns | Ds",384,1,       0.005247
1,float,uniform,PoisFFT,"Ns | Ds",384,2,       0.005232
1,float,uniform,PoisFFT,"Ns | Ds",384,3,       0.005220
1,float,uniform,PoisFFT,"Ns | Ds",384,4,       0.005175
1,float,uniform,PoisFFT,"Ns | Ds",384,5,       0.005190
1,float,uniform,PoisFFT,"Ns | Ds",384,6,       0.005196
1,float,uniform,PoisFFT,"Ns | Ds",384,7,       0.005186
1,float,uniform,PoisFFT,"Ns | Ds",384,8,       0.005199
