dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,      37.562218
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,      37.511496
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,      37.659311
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,      37.566871
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,      40.256071
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,      37.598663
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,      37.791558
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,      97.720766
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,      98.878019
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,2,      98.076122
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,3,      97.596993
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,4,      98.885016
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,5,      98.291052
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,6,      98.163921
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,7,      98.323308
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,8,      98.176653
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,9,      98.497524
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,10,      98.267949
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,11,      99.256769
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,12,      98.245240
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,13,      97.756355
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,14,      98.294367
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,15,      98.352679
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,16,      98.175503
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,17,      98.725405
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,18,      97.723407
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,19,      98.374695
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,0,     208.897967
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,1,     208.251339
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,2,     209.028697
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,3,     211.807091
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,4,     207.959404
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,5,     207.619610
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,6,     209.130536
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,7,     208.596599
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,8,     208.003784
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,9,     208.104759
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,10,     208.230524
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,11,     210.732168
