dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | N",64,0,       0.002824
1,double,uniform,PoisFFT,"D | N",64,1,       0.000915
1,double,uniform,PoisFFT,"D | N",64,2,       0.000866
1,double,uniform,PoisFFT,"D | N",64,3,       0.000827
1,double,uniform,PoisFFT,"D | N",64,4,       0.000836
1,double,uniform,PoisFFT,"D | N",64,5,       0.000836
1,double,uniform,PoisFFT,"D | N",64,6,       0.000824
1,double,uniform,PoisFFT,"D | N",64,7,       0.000834
1,double,uniform,PoisFFT,"D | N",64,8,       0.000834
1,double,uniform,PoisFFT,"D | N",64,9,       0.000823
1,double,uniform,PoisFFT,"D | N",64,10,       0.000825
1,double,uniform,PoisFFT,"D | N",64,11,       0.000836
1,double,uniform,PoisFFT,"D | N",64,12,       0.000821
1,double,uniform,PoisFFT,"D | N",64,13,       0.000824
1,double,uniform,PoisFFT,"D | N",64,14,       0.000827
1,double,uniform,PoisFFT,"D | N",64,15,       0.000825
1,double,uniform,PoisFFT,"D | N",64,16,       0.000824
1,double,uniform,PoisFFT,"D | N",64,17,       0.000909
1,double,uniform,PoisFFT,"D | N",64,18,       0.000875
1,double,uniform,PoisFFT,"D | N",64,19,       0.000861
1,double,uniform,PoisFFT,"D | N",128,0,       0.001901
1,double,uniform,PoisFFT,"D | N",128,1,       0.001648
1,double,uniform,PoisFFT,"D | N",128,2,       0.001577
1,double,uniform,PoisFFT,"D | N",128,3,       0.001578
1,double,uniform,PoisFFT,"D | N",128,4,       0.001570
1,double,uniform,PoisFFT,"D | N",128,5,       0.001553
1,double,uniform,PoisFFT,"D | N",128,6,       0.001547
1,double,uniform,PoisFFT,"D | N",128,7,       0.001554
1,double,uniform,PoisFFT,"D | N",128,8,       0.001556
1,double,uniform,PoisFFT,"D | N",128,9,       0.001552
1,double,uniform,PoisFFT,"D | N",128,10,       0.001552
1,double,uniform,PoisFFT,"D | N",128,11,       0.001560
1,double,uniform,PoisFFT,"D | N",128,12,       0.001567
1,double,uniform,PoisFFT,"D | N",128,13,       0.001568
1,double,uniform,PoisFFT,"D | N",128,14,       0.001563
1,double,uniform,PoisFFT,"D | N",128,15,       0.001566
1,double,uniform,PoisFFT,"D | N",128,16,       0.001564
1,double,uniform,PoisFFT,"D | N",128,17,       0.001564
1,double,uniform,PoisFFT,"D | N",128,18,       0.001560
1,double,uniform,PoisFFT,"D | N",128,19,       0.001567
1,double,uniform,PoisFFT,"D | N",192,0,       0.003738
1,double,uniform,PoisFFT,"D | N",192,1,       0.003020
1,double,uniform,PoisFFT,"D | N",192,2,       0.002951
1,double,uniform,PoisFFT,"D | N",192,3,       0.002913
1,double,uniform,PoisFFT,"D | N",192,4,       0.002908
1,double,uniform,PoisFFT,"D | N",192,5,       0.002933
1,double,uniform,PoisFFT,"D | N",192,6,       0.002928
1,double,uniform,PoisFFT,"D | N",192,7,       0.002897
1,double,uniform,PoisFFT,"D | N",192,8,       0.002933
1,double,uniform,PoisFFT,"D | N",192,9,       0.002955
1,double,uniform,PoisFFT,"D | N",192,10,       0.002932
1,double,uniform,PoisFFT,"D | N",192,11,       0.002939
1,double,uniform,PoisFFT,"D | N",192,12,       0.002902
1,double,uniform,PoisFFT,"D | N",192,13,       0.002919
1,double,uniform,PoisFFT,"D | N",192,14,       0.002928
1,double,uniform,PoisFFT,"D | N",192,15,       0.002942
1,double,uniform,PoisFFT,"D | N",192,16,       0.003184
1,double,uniform,PoisFFT,"D | N",192,17,       0.003153
1,double,uniform,PoisFFT,"D | N",192,18,       0.003140
1,double,uniform,PoisFFT,"D | N",192,19,       0.003153
1,double,uniform,PoisFFT,"D | N",256,0,       0.004140
1,double,uniform,PoisFFT,"D | N",256,1,       0.003827
1,double,uniform,PoisFFT,"D | N",256,2,       0.003783
1,double,uniform,PoisFFT,"D | N",256,3,       0.003724
1,double,uniform,PoisFFT,"D | N",256,4,       0.003733
1,double,uniform,PoisFFT,"D | N",256,5,       0.003716
1,double,uniform,PoisFFT,"D | N",256,6,       0.003703
1,double,uniform,PoisFFT,"D | N",256,7,       0.003734
1,double,uniform,PoisFFT,"D | N",256,8,       0.003743
1,double,uniform,PoisFFT,"D | N",256,9,       0.003712
1,double,uniform,PoisFFT,"D | N",256,10,       0.003716
1,double,uniform,PoisFFT,"D | N",256,11,       0.003714
1,double,uniform,PoisFFT,"D | N",256,12,       0.020369
1,double,uniform,PoisFFT,"D | N",256,13,       0.004044
1,double,uniform,PoisFFT,"D | N",256,14,       0.004092
1,double,uniform,PoisFFT,"D | N",256,15,       0.016015
1,double,uniform,PoisFFT,"D | N",256,16,       0.011115
1,double,uniform,PoisFFT,"D | N",256,17,       0.010880
1,double,uniform,PoisFFT,"D | N",256,18,       0.010928
1,double,uniform,PoisFFT,"D | N",256,19,       0.010971
1,double,uniform,PoisFFT,"D | N",320,0,       0.005638
1,double,uniform,PoisFFT,"D | N",320,1,       0.005147
1,double,uniform,PoisFFT,"D | N",320,2,       0.005138
1,double,uniform,PoisFFT,"D | N",320,3,       0.005056
1,double,uniform,PoisFFT,"D | N",320,4,       0.005017
1,double,uniform,PoisFFT,"D | N",320,5,       0.005047
1,double,uniform,PoisFFT,"D | N",320,6,       0.005040
1,double,uniform,PoisFFT,"D | N",320,7,       0.005017
1,double,uniform,PoisFFT,"D | N",320,8,       0.004969
1,double,uniform,PoisFFT,"D | N",320,9,       0.005009
1,double,uniform,PoisFFT,"D | N",320,10,       0.005476
1,double,uniform,PoisFFT,"D | N",320,11,       0.005399
1,double,uniform,PoisFFT,"D | N",320,12,       0.005386
1,double,uniform,PoisFFT,"D | N",320,13,       0.005384
1,double,uniform,PoisFFT,"D | N",320,14,       0.008676
1,double,uniform,PoisFFT,"D | N",320,15,       0.005342
1,double,uniform,PoisFFT,"D | N",320,16,       0.005396
1,double,uniform,PoisFFT,"D | N",320,17,       0.005422
1,double,uniform,PoisFFT,"D | N",320,18,       0.005428
1,double,uniform,PoisFFT,"D | N",320,19,       0.005377
1,double,uniform,PoisFFT,"D | N",384,0,       0.006395
1,double,uniform,PoisFFT,"D | N",384,1,       0.022334
1,double,uniform,PoisFFT,"D | N",384,2,       0.005845
1,double,uniform,PoisFFT,"D | N",384,3,       0.005829
1,double,uniform,PoisFFT,"D | N",384,4,       0.005915
1,double,uniform,PoisFFT,"D | N",384,5,       0.005828
1,double,uniform,PoisFFT,"D | N",384,6,       0.005865
1,double,uniform,PoisFFT,"D | N",384,7,       0.005852
1,double,uniform,PoisFFT,"D | N",384,8,       0.005793
1,double,uniform,PoisFFT,"D | N",384,9,       0.005874
1,double,uniform,PoisFFT,"D | N",384,10,       0.005837
1,double,uniform,PoisFFT,"D | N",384,11,       0.005829
1,double,uniform,PoisFFT,"D | N",384,12,       0.005841
1,double,uniform,PoisFFT,"D | N",384,13,       0.005826
1,double,uniform,PoisFFT,"D | N",384,14,       0.005828
1,double,uniform,PoisFFT,"D | N",384,15,       0.022572
1,double,uniform,PoisFFT,"D | N",384,16,       0.006079
1,double,uniform,PoisFFT,"D | N",384,17,       0.006044
1,double,uniform,PoisFFT,"D | N",384,18,       0.006042
1,double,uniform,PoisFFT,"D | N",384,19,       0.006095
1,double,uniform,PoisFFT,"D | N",448,0,       0.007545
1,double,uniform,PoisFFT,"D | N",448,1,       0.006993
1,double,uniform,PoisFFT,"D | N",448,2,       0.006984
1,double,uniform,PoisFFT,"D | N",448,3,       0.006900
1,double,uniform,PoisFFT,"D | N",448,4,       0.006950
1,double,uniform,PoisFFT,"D | N",448,5,       0.006923
1,double,uniform,PoisFFT,"D | N",448,6,       0.006892
1,double,uniform,PoisFFT,"D | N",448,7,       0.023222
1,double,uniform,PoisFFT,"D | N",448,8,       0.007423
1,double,uniform,PoisFFT,"D | N",448,9,       0.007401
1,double,uniform,PoisFFT,"D | N",448,10,       0.007428
1,double,uniform,PoisFFT,"D | N",448,11,       0.007449
