dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",64,0,       0.002128
1,double,uniform,PoisFFT,"N | N",64,1,       0.001772
1,double,uniform,PoisFFT,"N | N",64,2,       0.001641
1,double,uniform,PoisFFT,"N | N",64,3,       0.001592
1,double,uniform,PoisFFT,"N | N",64,4,       0.001599
1,double,uniform,PoisFFT,"N | N",64,5,       0.001568
1,double,uniform,PoisFFT,"N | N",64,6,       0.001592
1,double,uniform,PoisFFT,"N | N",64,7,       0.001593
1,double,uniform,PoisFFT,"N | N",64,8,       0.001578
1,double,uniform,PoisFFT,"N | N",64,9,       0.001601
1,double,uniform,PoisFFT,"N | N",64,10,       0.001603
1,double,uniform,PoisFFT,"N | N",64,11,       0.001600
1,double,uniform,PoisFFT,"N | N",64,12,       0.001600
1,double,uniform,PoisFFT,"N | N",64,13,       0.017983
1,double,uniform,PoisFFT,"N | N",64,14,       0.001753
1,double,uniform,PoisFFT,"N | N",64,15,       0.001726
1,double,uniform,PoisFFT,"N | N",64,16,       0.001704
1,double,uniform,PoisFFT,"N | N",64,17,       0.001715
1,double,uniform,PoisFFT,"N | N",64,18,       0.001714
1,double,uniform,PoisFFT,"N | N",64,19,       0.001735
1,double,uniform,PoisFFT,"N | N",128,0,       0.013497
1,double,uniform,PoisFFT,"N | N",128,1,       0.013348
1,double,uniform,PoisFFT,"N | N",128,2,       0.030695
1,double,uniform,PoisFFT,"N | N",128,3,       0.034492
1,double,uniform,PoisFFT,"N | N",128,4,       0.018642
1,double,uniform,PoisFFT,"N | N",128,5,       0.018633
1,double,uniform,PoisFFT,"N | N",128,6,       0.018644
1,double,uniform,PoisFFT,"N | N",128,7,       0.018637
1,double,uniform,PoisFFT,"N | N",128,8,       0.018603
1,double,uniform,PoisFFT,"N | N",128,9,       0.018641
1,double,uniform,PoisFFT,"N | N",128,10,       0.018629
1,double,uniform,PoisFFT,"N | N",128,11,       0.035704
1,double,uniform,PoisFFT,"N | N",128,12,       0.019298
1,double,uniform,PoisFFT,"N | N",128,13,       0.019312
1,double,uniform,PoisFFT,"N | N",128,14,       0.019317
1,double,uniform,PoisFFT,"N | N",128,15,       0.019342
1,double,uniform,PoisFFT,"N | N",128,16,       0.019359
1,double,uniform,PoisFFT,"N | N",128,17,       0.019365
1,double,uniform,PoisFFT,"N | N",128,18,       0.019367
1,double,uniform,PoisFFT,"N | N",128,19,       0.019332
1,double,uniform,PoisFFT,"N | N",192,0,       0.041240
1,double,uniform,PoisFFT,"N | N",192,1,       0.040109
1,double,uniform,PoisFFT,"N | N",192,2,       0.042965
1,double,uniform,PoisFFT,"N | N",192,3,       0.042800
1,double,uniform,PoisFFT,"N | N",192,4,       0.042774
1,double,uniform,PoisFFT,"N | N",192,5,       0.081778
1,double,uniform,PoisFFT,"N | N",192,6,       0.049393
1,double,uniform,PoisFFT,"N | N",192,7,       0.042836
1,double,uniform,PoisFFT,"N | N",192,8,       0.042818
1,double,uniform,PoisFFT,"N | N",192,9,       0.042799
1,double,uniform,PoisFFT,"N | N",192,10,       0.042838
1,double,uniform,PoisFFT,"N | N",192,11,       0.042760
1,double,uniform,PoisFFT,"N | N",192,12,       0.042737
1,double,uniform,PoisFFT,"N | N",192,13,       0.042806
1,double,uniform,PoisFFT,"N | N",192,14,       0.042822
1,double,uniform,PoisFFT,"N | N",192,15,       0.042799
1,double,uniform,PoisFFT,"N | N",192,16,       0.042744
1,double,uniform,PoisFFT,"N | N",192,17,       0.042756
1,double,uniform,PoisFFT,"N | N",192,18,       0.042771
1,double,uniform,PoisFFT,"N | N",192,19,       0.042766
1,double,uniform,PoisFFT,"N | N",256,0,       0.010046
1,double,uniform,PoisFFT,"N | N",256,1,       0.039496
1,double,uniform,PoisFFT,"N | N",256,2,       0.009430
1,double,uniform,PoisFFT,"N | N",256,3,       0.009410
1,double,uniform,PoisFFT,"N | N",256,4,       0.009400
1,double,uniform,PoisFFT,"N | N",256,5,       0.026215
1,double,uniform,PoisFFT,"N | N",256,6,       0.010116
1,double,uniform,PoisFFT,"N | N",256,7,       0.010186
1,double,uniform,PoisFFT,"N | N",256,8,       0.010063
1,double,uniform,PoisFFT,"N | N",256,9,       0.010119
1,double,uniform,PoisFFT,"N | N",256,10,       0.010102
1,double,uniform,PoisFFT,"N | N",256,11,       0.010143
1,double,uniform,PoisFFT,"N | N",256,12,       0.010130
1,double,uniform,PoisFFT,"N | N",256,13,       0.010126
1,double,uniform,PoisFFT,"N | N",256,14,       0.010552
1,double,uniform,PoisFFT,"N | N",256,15,       0.036977
1,double,uniform,PoisFFT,"N | N",256,16,       0.027688
1,double,uniform,PoisFFT,"N | N",256,17,       0.027392
1,double,uniform,PoisFFT,"N | N",256,18,       0.027241
1,double,uniform,PoisFFT,"N | N",256,19,       0.027200
1,double,uniform,PoisFFT,"N | N",320,0,       0.012665
1,double,uniform,PoisFFT,"N | N",320,1,       0.012248
1,double,uniform,PoisFFT,"N | N",320,2,       0.012243
1,double,uniform,PoisFFT,"N | N",320,3,       0.012205
1,double,uniform,PoisFFT,"N | N",320,4,       0.014309
1,double,uniform,PoisFFT,"N | N",320,5,       0.028443
1,double,uniform,PoisFFT,"N | N",320,6,       0.012856
1,double,uniform,PoisFFT,"N | N",320,7,       0.012854
1,double,uniform,PoisFFT,"N | N",320,8,       0.012832
1,double,uniform,PoisFFT,"N | N",320,9,       0.012814
1,double,uniform,PoisFFT,"N | N",320,10,       0.013223
1,double,uniform,PoisFFT,"N | N",320,11,       0.013238
1,double,uniform,PoisFFT,"N | N",320,12,       0.013229
1,double,uniform,PoisFFT,"N | N",320,13,       0.013199
1,double,uniform,PoisFFT,"N | N",320,14,       0.013231
1,double,uniform,PoisFFT,"N | N",320,15,       0.013203
1,double,uniform,PoisFFT,"N | N",320,16,       0.018396
1,double,uniform,PoisFFT,"N | N",320,17,       0.013615
1,double,uniform,PoisFFT,"N | N",320,18,       0.013238
1,double,uniform,PoisFFT,"N | N",320,19,       0.013264
1,double,uniform,PoisFFT,"N | N",384,0,       0.093486
1,double,uniform,PoisFFT,"N | N",384,1,       0.109355
1,double,uniform,PoisFFT,"N | N",384,2,       0.095679
1,double,uniform,PoisFFT,"N | N",384,3,       0.095503
1,double,uniform,PoisFFT,"N | N",384,4,       0.095528
1,double,uniform,PoisFFT,"N | N",384,5,       0.095572
1,double,uniform,PoisFFT,"N | N",384,6,       0.095509
1,double,uniform,PoisFFT,"N | N",384,7,       0.095545
1,double,uniform,PoisFFT,"N | N",384,8,       0.095652
1,double,uniform,PoisFFT,"N | N",384,9,       0.095548
1,double,uniform,PoisFFT,"N | N",384,10,       0.100197
1,double,uniform,PoisFFT,"N | N",384,11,       0.095482
1,double,uniform,PoisFFT,"N | N",384,12,       0.095532
1,double,uniform,PoisFFT,"N | N",384,13,       0.104121
1,double,uniform,PoisFFT,"N | N",384,14,       0.091919
1,double,uniform,PoisFFT,"N | N",384,15,       0.092037
1,double,uniform,PoisFFT,"N | N",384,16,       0.091993
1,double,uniform,PoisFFT,"N | N",384,17,       0.091982
1,double,uniform,PoisFFT,"N | N",384,18,       0.092092
