dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,8,     133.871704
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,9,     133.702156
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,10,     134.371095
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,11,     136.330411
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,12,     133.787979
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,13,     134.078804
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,14,     134.095848
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,15,     134.550996
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,16,     133.827637
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,17,     134.195449
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,18,     134.175196
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,19,     133.894455
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,0,     340.372373
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,1,     338.917629
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,2,     340.030163
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,3,     345.163603
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,4,     340.692021
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,5,     341.278499
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,6,     340.198956
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,7,     344.061778
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,8,     341.173314
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,9,     344.133451
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,10,     344.068635
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,11,     342.244617
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,12,     343.001708
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,13,     342.138666
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,14,     341.348210
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,15,     340.899204
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,16,     339.160614
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,17,     340.321085
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,18,     341.413102
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,19,     341.459958
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,0,     593.679759
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,1,     595.310462
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,2,     595.283076
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,3,     594.303503
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,4,     595.227333
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,5,     594.874624
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,6,     593.075100
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,7,     595.856513
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,8,     593.842479
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,9,     593.209975
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,10,     595.881663
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,11,     594.683553
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,12,     594.842466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,13,     593.288732
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,14,     595.308286
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,15,     594.484984
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,16,     594.537555
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,17,     595.714457
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,18,     595.855934
3,float,uniform,PoisFFT,"D | D | D | D | N | D",320,19,     593.584940
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,0,     413.076378
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,1,     413.216126
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,2,     413.165189
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,3,     413.684319
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,4,     414.360721
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,5,     414.492807
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,6,     414.803824
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,7,     412.801011
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,8,     413.958101
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,9,     414.531268
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,10,     413.676482
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,11,     413.688170
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,12,     414.630341
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,13,     413.613002
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,14,     412.797156
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,15,     412.262107
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,16,     415.261219
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,17,     415.391590
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,18,     416.852876
3,float,uniform,PoisFFT,"D | D | D | D | N | D",384,19,     418.348694
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,0,    1849.643582
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,1,    1850.761892
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,2,    1851.440340
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,3,    1847.613095
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,4,    1848.547030
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,5,    1842.241270
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,6,    1855.049963
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,7,    1847.026143
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,8,    1849.753284
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,9,    1848.902703
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,10,    1848.519737
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,11,    1849.592594
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,12,    1846.411577
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,13,    1849.045093
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,14,    1849.879479
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,15,    1843.413195
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,16,    1850.595622
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,17,    1852.660253
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,18,    1848.154459
3,float,uniform,PoisFFT,"D | D | D | D | N | D",448,19,    1848.794938
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,0,    1391.945937
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,1,    1377.976685
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,2,    1392.098883
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,3,    1394.002096
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,4,    1379.248320
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,5,    1371.642590
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,6,    1389.272853
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,7,    1371.474205
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,8,    1378.677938
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,9,    1372.817316
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,10,    1375.982437
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,11,    1377.499865
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,12,    1366.492888
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,13,    1364.250398
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,14,    1377.927568
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,15,    1369.527508
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,16,    1380.759057
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,17,    1365.852940
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,18,    1372.504033
3,float,uniform,PoisFFT,"D | D | D | D | N | D",512,19,    1372.563467
