dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"P | P | P | P",64,0,       0.035564
2,float,uniform,PoisFFT,"P | P | P | P",64,1,       0.031294
2,float,uniform,PoisFFT,"P | P | P | P",64,2,       0.031224
2,float,uniform,PoisFFT,"P | P | P | P",64,3,       0.031233
2,float,uniform,PoisFFT,"P | P | P | P",64,4,       0.035140
2,float,uniform,PoisFFT,"P | P | P | P",64,5,       0.031089
2,float,uniform,PoisFFT,"P | P | P | P",64,6,       0.031074
2,float,uniform,PoisFFT,"P | P | P | P",64,7,       0.031064
2,float,uniform,PoisFFT,"P | P | P | P",64,8,       0.031175
2,float,uniform,PoisFFT,"P | P | P | P",64,9,       0.039983
2,float,uniform,PoisFFT,"P | P | P | P",64,10,       0.031189
2,float,uniform,PoisFFT,"P | P | P | P",64,11,       0.031077
2,float,uniform,PoisFFT,"P | P | P | P",64,12,       0.031104
2,float,uniform,PoisFFT,"P | P | P | P",64,13,       0.031180
2,float,uniform,PoisFFT,"P | P | P | P",64,14,       0.031173
2,float,uniform,PoisFFT,"P | P | P | P",64,15,       0.031020
2,float,uniform,PoisFFT,"P | P | P | P",64,16,       0.031159
2,float,uniform,PoisFFT,"P | P | P | P",64,17,       0.031066
2,float,uniform,PoisFFT,"P | P | P | P",64,18,       0.031100
2,float,uniform,PoisFFT,"P | P | P | P",64,19,       0.031220
2,float,uniform,PoisFFT,"P | P | P | P",128,0,       0.169592
2,float,uniform,PoisFFT,"P | P | P | P",128,1,       0.151816
2,float,uniform,PoisFFT,"P | P | P | P",128,2,       0.155033
2,float,uniform,PoisFFT,"P | P | P | P",128,3,       0.151747
2,float,uniform,PoisFFT,"P | P | P | P",128,4,       0.152068
2,float,uniform,PoisFFT,"P | P | P | P",128,5,       0.151524
2,float,uniform,PoisFFT,"P | P | P | P",128,6,       0.151644
2,float,uniform,PoisFFT,"P | P | P | P",128,7,       0.154581
2,float,uniform,PoisFFT,"P | P | P | P",128,8,       0.151679
2,float,uniform,PoisFFT,"P | P | P | P",128,9,       0.152030
2,float,uniform,PoisFFT,"P | P | P | P",128,10,       0.151638
2,float,uniform,PoisFFT,"P | P | P | P",128,11,       0.151785
2,float,uniform,PoisFFT,"P | P | P | P",128,12,       0.154425
2,float,uniform,PoisFFT,"P | P | P | P",128,13,       0.151588
2,float,uniform,PoisFFT,"P | P | P | P",128,14,       0.151872
2,float,uniform,PoisFFT,"P | P | P | P",128,15,       0.151608
2,float,uniform,PoisFFT,"P | P | P | P",128,16,       0.151224
2,float,uniform,PoisFFT,"P | P | P | P",128,17,       0.154388
2,float,uniform,PoisFFT,"P | P | P | P",128,18,       0.151725
2,float,uniform,PoisFFT,"P | P | P | P",128,19,       0.151990
2,float,uniform,PoisFFT,"P | P | P | P",192,0,       0.387908
2,float,uniform,PoisFFT,"P | P | P | P",192,1,       0.387686
2,float,uniform,PoisFFT,"P | P | P | P",192,2,       0.383267
2,float,uniform,PoisFFT,"P | P | P | P",192,3,       0.386405
2,float,uniform,PoisFFT,"P | P | P | P",192,4,       0.382257
2,float,uniform,PoisFFT,"P | P | P | P",192,5,       0.382591
2,float,uniform,PoisFFT,"P | P | P | P",192,6,       0.382420
2,float,uniform,PoisFFT,"P | P | P | P",192,7,       0.381962
2,float,uniform,PoisFFT,"P | P | P | P",192,8,       0.382070
2,float,uniform,PoisFFT,"P | P | P | P",192,9,       0.382306
2,float,uniform,PoisFFT,"P | P | P | P",192,10,       0.381818
2,float,uniform,PoisFFT,"P | P | P | P",192,11,       0.381781
2,float,uniform,PoisFFT,"P | P | P | P",192,12,       0.382319
2,float,uniform,PoisFFT,"P | P | P | P",192,13,       0.381698
2,float,uniform,PoisFFT,"P | P | P | P",192,14,       0.382794
2,float,uniform,PoisFFT,"P | P | P | P",192,15,       0.382248
2,float,uniform,PoisFFT,"P | P | P | P",192,16,       0.381898
2,float,uniform,PoisFFT,"P | P | P | P",192,17,       0.382318
2,float,uniform,PoisFFT,"P | P | P | P",192,18,       0.382231
2,float,uniform,PoisFFT,"P | P | P | P",192,19,       0.381821
2,float,uniform,PoisFFT,"P | P | P | P",256,0,       0.743735
2,float,uniform,PoisFFT,"P | P | P | P",256,1,       0.738535
2,float,uniform,PoisFFT,"P | P | P | P",256,2,       0.735160
2,float,uniform,PoisFFT,"P | P | P | P",256,3,       0.743379
2,float,uniform,PoisFFT,"P | P | P | P",256,4,       0.742569
2,float,uniform,PoisFFT,"P | P | P | P",256,5,       0.737770
2,float,uniform,PoisFFT,"P | P | P | P",256,6,       0.735864
2,float,uniform,PoisFFT,"P | P | P | P",256,7,       0.728621
2,float,uniform,PoisFFT,"P | P | P | P",256,8,       0.871634
2,float,uniform,PoisFFT,"P | P | P | P",256,9,       0.738191
2,float,uniform,PoisFFT,"P | P | P | P",256,10,       0.737737
2,float,uniform,PoisFFT,"P | P | P | P",256,11,       0.735277
2,float,uniform,PoisFFT,"P | P | P | P",256,12,       0.735667
2,float,uniform,PoisFFT,"P | P | P | P",256,13,       0.736598
2,float,uniform,PoisFFT,"P | P | P | P",256,14,       0.732903
2,float,uniform,PoisFFT,"P | P | P | P",256,15,       0.739684
2,float,uniform,PoisFFT,"P | P | P | P",256,16,       0.729179
2,float,uniform,PoisFFT,"P | P | P | P",256,17,       0.737530
2,float,uniform,PoisFFT,"P | P | P | P",256,18,       0.741457
2,float,uniform,PoisFFT,"P | P | P | P",256,19,       0.742260
2,float,uniform,PoisFFT,"P | P | P | P",320,0,       1.170635
2,float,uniform,PoisFFT,"P | P | P | P",320,1,       1.174754
2,float,uniform,PoisFFT,"P | P | P | P",320,2,       1.160530
2,float,uniform,PoisFFT,"P | P | P | P",320,3,       1.173761
2,float,uniform,PoisFFT,"P | P | P | P",320,4,       1.177163
2,float,uniform,PoisFFT,"P | P | P | P",320,5,       1.165055
2,float,uniform,PoisFFT,"P | P | P | P",320,6,       1.173848
2,float,uniform,PoisFFT,"P | P | P | P",320,7,       1.165695
2,float,uniform,PoisFFT,"P | P | P | P",320,8,       1.164476
2,float,uniform,PoisFFT,"P | P | P | P",320,9,       1.178263
2,float,uniform,PoisFFT,"P | P | P | P",320,10,       1.181188
2,float,uniform,PoisFFT,"P | P | P | P",320,11,       1.170155
2,float,uniform,PoisFFT,"P | P | P | P",320,12,       1.174545
2,float,uniform,PoisFFT,"P | P | P | P",320,13,       1.182453
2,float,uniform,PoisFFT,"P | P | P | P",320,14,       1.174180
2,float,uniform,PoisFFT,"P | P | P | P",320,15,       1.177825
2,float,uniform,PoisFFT,"P | P | P | P",320,16,       1.166822
2,float,uniform,PoisFFT,"P | P | P | P",320,17,       1.169808
2,float,uniform,PoisFFT,"P | P | P | P",320,18,       1.168867
2,float,uniform,PoisFFT,"P | P | P | P",320,19,       1.169762
2,float,uniform,PoisFFT,"P | P | P | P",384,0,       1.805047
2,float,uniform,PoisFFT,"P | P | P | P",384,1,       1.750412
2,float,uniform,PoisFFT,"P | P | P | P",384,2,       1.774152
2,float,uniform,PoisFFT,"P | P | P | P",384,3,       1.770588
2,float,uniform,PoisFFT,"P | P | P | P",384,4,       1.777822
2,float,uniform,PoisFFT,"P | P | P | P",384,5,       1.775172
2,float,uniform,PoisFFT,"P | P | P | P",384,6,       1.773700
2,float,uniform,PoisFFT,"P | P | P | P",384,7,       1.772367
2,float,uniform,PoisFFT,"P | P | P | P",384,8,       1.774452
2,float,uniform,PoisFFT,"P | P | P | P",384,9,       1.777282
2,float,uniform,PoisFFT,"P | P | P | P",384,10,       1.778822
2,float,uniform,PoisFFT,"P | P | P | P",384,11,       1.779565
2,float,uniform,PoisFFT,"P | P | P | P",384,12,       1.770333
2,float,uniform,PoisFFT,"P | P | P | P",384,13,       1.775587
2,float,uniform,PoisFFT,"P | P | P | P",384,14,       1.774400
2,float,uniform,PoisFFT,"P | P | P | P",384,15,       1.777235
2,float,uniform,PoisFFT,"P | P | P | P",384,16,       1.774647
2,float,uniform,PoisFFT,"P | P | P | P",384,17,       1.759300
2,float,uniform,PoisFFT,"P | P | P | P",384,18,       1.770944
2,float,uniform,PoisFFT,"P | P | P | P",384,19,       1.769395
2,float,uniform,PoisFFT,"P | P | P | P",448,0,       2.990242
2,float,uniform,PoisFFT,"P | P | P | P",448,1,       2.931522
2,float,uniform,PoisFFT,"P | P | P | P",448,2,       2.876499
2,float,uniform,PoisFFT,"P | P | P | P",448,3,       2.867616
2,float,uniform,PoisFFT,"P | P | P | P",448,4,       2.893459
2,float,uniform,PoisFFT,"P | P | P | P",448,5,       2.842730
2,float,uniform,PoisFFT,"P | P | P | P",448,6,       2.903368
2,float,uniform,PoisFFT,"P | P | P | P",448,7,       2.870376
2,float,uniform,PoisFFT,"P | P | P | P",448,8,       2.887922
2,float,uniform,PoisFFT,"P | P | P | P",448,9,       2.879071
2,float,uniform,PoisFFT,"P | P | P | P",448,10,       2.889997
2,float,uniform,PoisFFT,"P | P | P | P",448,11,       2.868354
2,float,uniform,PoisFFT,"P | P | P | P",448,12,       2.876857
2,float,uniform,PoisFFT,"P | P | P | P",448,13,       2.882584
2,float,uniform,PoisFFT,"P | P | P | P",448,14,       2.888048
