dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",64,0,       0.002923
1,float,uniform,PoisFFT,"Ns | Ns",64,1,       0.000917
1,float,uniform,PoisFFT,"Ns | Ns",64,2,       0.000788
1,float,uniform,PoisFFT,"Ns | Ns",64,3,       0.000751
1,float,uniform,PoisFFT,"Ns | Ns",64,4,       0.000748
1,float,uniform,PoisFFT,"Ns | Ns",64,5,       0.000743
1,float,uniform,PoisFFT,"Ns | Ns",64,6,       0.000751
1,float,uniform,PoisFFT,"Ns | Ns",64,7,       0.000743
1,float,uniform,PoisFFT,"Ns | Ns",64,8,       0.000748
1,float,uniform,PoisFFT,"Ns | Ns",64,9,       0.000745
1,float,uniform,PoisFFT,"Ns | Ns",64,10,       0.000747
1,float,uniform,PoisFFT,"Ns | Ns",64,11,       0.000746
1,float,uniform,PoisFFT,"Ns | Ns",64,12,       0.000745
1,float,uniform,PoisFFT,"Ns | Ns",64,13,       0.000738
1,float,uniform,PoisFFT,"Ns | Ns",64,14,       0.000746
1,float,uniform,PoisFFT,"Ns | Ns",64,15,       0.000758
1,float,uniform,PoisFFT,"Ns | Ns",64,16,       0.000746
1,float,uniform,PoisFFT,"Ns | Ns",64,17,       0.000747
1,float,uniform,PoisFFT,"Ns | Ns",64,18,       0.000864
1,float,uniform,PoisFFT,"Ns | Ns",64,19,       0.000808
1,float,uniform,PoisFFT,"Ns | Ns",128,0,       0.001774
1,float,uniform,PoisFFT,"Ns | Ns",128,1,       0.001647
1,float,uniform,PoisFFT,"Ns | Ns",128,2,       0.001582
1,float,uniform,PoisFFT,"Ns | Ns",128,3,       0.001561
1,float,uniform,PoisFFT,"Ns | Ns",128,4,       0.001523
1,float,uniform,PoisFFT,"Ns | Ns",128,5,       0.001522
1,float,uniform,PoisFFT,"Ns | Ns",128,6,       0.001525
1,float,uniform,PoisFFT,"Ns | Ns",128,7,       0.001525
1,float,uniform,PoisFFT,"Ns | Ns",128,8,       0.001526
1,float,uniform,PoisFFT,"Ns | Ns",128,9,       0.001512
1,float,uniform,PoisFFT,"Ns | Ns",128,10,       0.001520
1,float,uniform,PoisFFT,"Ns | Ns",128,11,       0.001521
1,float,uniform,PoisFFT,"Ns | Ns",128,12,       0.001521
1,float,uniform,PoisFFT,"Ns | Ns",128,13,       0.001522
1,float,uniform,PoisFFT,"Ns | Ns",128,14,       0.001516
1,float,uniform,PoisFFT,"Ns | Ns",128,15,       0.001522
1,float,uniform,PoisFFT,"Ns | Ns",128,16,       0.001522
1,float,uniform,PoisFFT,"Ns | Ns",128,17,       0.001516
1,float,uniform,PoisFFT,"Ns | Ns",128,18,       0.001515
1,float,uniform,PoisFFT,"Ns | Ns",128,19,       0.001522
1,float,uniform,PoisFFT,"Ns | Ns",192,0,       0.002994
1,float,uniform,PoisFFT,"Ns | Ns",192,1,       0.002548
1,float,uniform,PoisFFT,"Ns | Ns",192,2,       0.002482
1,float,uniform,PoisFFT,"Ns | Ns",192,3,       0.002466
1,float,uniform,PoisFFT,"Ns | Ns",192,4,       0.002460
1,float,uniform,PoisFFT,"Ns | Ns",192,5,       0.002453
1,float,uniform,PoisFFT,"Ns | Ns",192,6,       0.002458
1,float,uniform,PoisFFT,"Ns | Ns",192,7,       0.002454
1,float,uniform,PoisFFT,"Ns | Ns",192,8,       0.002475
1,float,uniform,PoisFFT,"Ns | Ns",192,9,       0.002471
1,float,uniform,PoisFFT,"Ns | Ns",192,10,       0.002456
1,float,uniform,PoisFFT,"Ns | Ns",192,11,       0.002449
1,float,uniform,PoisFFT,"Ns | Ns",192,12,       0.002467
1,float,uniform,PoisFFT,"Ns | Ns",192,13,       0.002464
1,float,uniform,PoisFFT,"Ns | Ns",192,14,       0.002464
1,float,uniform,PoisFFT,"Ns | Ns",192,15,       0.002462
1,float,uniform,PoisFFT,"Ns | Ns",192,16,       0.002460
1,float,uniform,PoisFFT,"Ns | Ns",192,17,       0.002469
1,float,uniform,PoisFFT,"Ns | Ns",192,18,       0.002467
1,float,uniform,PoisFFT,"Ns | Ns",192,19,       0.018991
1,float,uniform,PoisFFT,"Ns | Ns",256,0,       0.003365
1,float,uniform,PoisFFT,"Ns | Ns",256,1,       0.003154
1,float,uniform,PoisFFT,"Ns | Ns",256,2,       0.003105
1,float,uniform,PoisFFT,"Ns | Ns",256,3,       0.003088
1,float,uniform,PoisFFT,"Ns | Ns",256,4,       0.003098
1,float,uniform,PoisFFT,"Ns | Ns",256,5,       0.003091
1,float,uniform,PoisFFT,"Ns | Ns",256,6,       0.003090
1,float,uniform,PoisFFT,"Ns | Ns",256,7,       0.003087
1,float,uniform,PoisFFT,"Ns | Ns",256,8,       0.003101
1,float,uniform,PoisFFT,"Ns | Ns",256,9,       0.003087
1,float,uniform,PoisFFT,"Ns | Ns",256,10,       0.003107
1,float,uniform,PoisFFT,"Ns | Ns",256,11,       0.003096
1,float,uniform,PoisFFT,"Ns | Ns",256,12,       0.003094
1,float,uniform,PoisFFT,"Ns | Ns",256,13,       0.003928
1,float,uniform,PoisFFT,"Ns | Ns",256,14,       0.002630
1,float,uniform,PoisFFT,"Ns | Ns",256,15,       0.002589
1,float,uniform,PoisFFT,"Ns | Ns",256,16,       0.019151
1,float,uniform,PoisFFT,"Ns | Ns",256,17,       0.002937
1,float,uniform,PoisFFT,"Ns | Ns",256,18,       0.003626
1,float,uniform,PoisFFT,"Ns | Ns",256,19,       0.003542
1,float,uniform,PoisFFT,"Ns | Ns",320,0,       0.005555
1,float,uniform,PoisFFT,"Ns | Ns",320,1,       0.004821
1,float,uniform,PoisFFT,"Ns | Ns",320,2,       0.004726
1,float,uniform,PoisFFT,"Ns | Ns",320,3,       0.004683
