dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.214151
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.571158
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.569675
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.564290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.581322
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.574456
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.575157
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.564916
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.567893
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.566395
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.565536
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.568329
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.568929
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.574855
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.584161
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.571037
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.576002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.574057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.573588
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.567833
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,       4.908778
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       4.728483
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       4.726344
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,       4.736577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,       4.739029
