dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"P | P",192,10,       0.001413
1,float,uniform,PoisFFT,"P | P",192,11,       0.001400
1,float,uniform,PoisFFT,"P | P",192,12,       0.001426
1,float,uniform,PoisFFT,"P | P",192,13,       0.001405
1,float,uniform,PoisFFT,"P | P",192,14,       0.001402
1,float,uniform,PoisFFT,"P | P",192,15,       0.001432
1,float,uniform,PoisFFT,"P | P",192,16,       0.001409
1,float,uniform,PoisFFT,"P | P",192,17,       0.001405
1,float,uniform,PoisFFT,"P | P",192,18,       0.001405
1,float,uniform,PoisFFT,"P | P",192,19,       0.001408
1,float,uniform,PoisFFT,"P | P",256,0,       0.002474
1,float,uniform,PoisFFT,"P | P",256,1,       0.001724
1,float,uniform,PoisFFT,"P | P",256,2,       0.001710
1,float,uniform,PoisFFT,"P | P",256,3,       0.001623
1,float,uniform,PoisFFT,"P | P",256,4,       0.001621
1,float,uniform,PoisFFT,"P | P",256,5,       0.001607
1,float,uniform,PoisFFT,"P | P",256,6,       0.001602
1,float,uniform,PoisFFT,"P | P",256,7,       0.001603
1,float,uniform,PoisFFT,"P | P",256,8,       0.001609
1,float,uniform,PoisFFT,"P | P",256,9,       0.001604
1,float,uniform,PoisFFT,"P | P",256,10,       0.001765
1,float,uniform,PoisFFT,"P | P",256,11,       0.001710
1,float,uniform,PoisFFT,"P | P",256,12,       0.001714
1,float,uniform,PoisFFT,"P | P",256,13,       0.001720
1,float,uniform,PoisFFT,"P | P",256,14,       0.001725
1,float,uniform,PoisFFT,"P | P",256,15,       0.001724
1,float,uniform,PoisFFT,"P | P",256,16,       0.004278
1,float,uniform,PoisFFT,"P | P",256,17,       0.003754
1,float,uniform,PoisFFT,"P | P",256,18,       0.003717
1,float,uniform,PoisFFT,"P | P",256,19,       0.002025
1,float,uniform,PoisFFT,"P | P",320,0,       0.002865
1,float,uniform,PoisFFT,"P | P",320,1,       0.001986
1,float,uniform,PoisFFT,"P | P",320,2,       0.001964
1,float,uniform,PoisFFT,"P | P",320,3,       0.001941
1,float,uniform,PoisFFT,"P | P",320,4,       0.001909
1,float,uniform,PoisFFT,"P | P",320,5,       0.001947
1,float,uniform,PoisFFT,"P | P",320,6,       0.001913
1,float,uniform,PoisFFT,"P | P",320,7,       0.001937
1,float,uniform,PoisFFT,"P | P",320,8,       0.001908
1,float,uniform,PoisFFT,"P | P",320,9,       0.001914
1,float,uniform,PoisFFT,"P | P",320,10,       0.001905
1,float,uniform,PoisFFT,"P | P",320,11,       0.001916
1,float,uniform,PoisFFT,"P | P",320,12,       0.001906
1,float,uniform,PoisFFT,"P | P",320,13,       0.001911
1,float,uniform,PoisFFT,"P | P",320,14,       0.001935
1,float,uniform,PoisFFT,"P | P",320,15,       0.001917
1,float,uniform,PoisFFT,"P | P",320,16,       0.001913
1,float,uniform,PoisFFT,"P | P",320,17,       0.001910
1,float,uniform,PoisFFT,"P | P",320,18,       0.001906
1,float,uniform,PoisFFT,"P | P",320,19,       0.001904
1,float,uniform,PoisFFT,"P | P",384,0,       0.003071
1,float,uniform,PoisFFT,"P | P",384,1,       0.002309
1,float,uniform,PoisFFT,"P | P",384,2,       0.002203
1,float,uniform,PoisFFT,"P | P",384,3,       0.002205
1,float,uniform,PoisFFT,"P | P",384,4,       0.002172
1,float,uniform,PoisFFT,"P | P",384,5,       0.002185
1,float,uniform,PoisFFT,"P | P",384,6,       0.002201
1,float,uniform,PoisFFT,"P | P",384,7,       0.002171
1,float,uniform,PoisFFT,"P | P",384,8,       0.002177
1,float,uniform,PoisFFT,"P | P",384,9,       0.002184
1,float,uniform,PoisFFT,"P | P",384,10,       0.002171
1,float,uniform,PoisFFT,"P | P",384,11,       0.002194
1,float,uniform,PoisFFT,"P | P",384,12,       0.002184
1,float,uniform,PoisFFT,"P | P",384,13,       0.002183
1,float,uniform,PoisFFT,"P | P",384,14,       0.002186
1,float,uniform,PoisFFT,"P | P",384,15,       0.002189
1,float,uniform,PoisFFT,"P | P",384,16,       0.002211
1,float,uniform,PoisFFT,"P | P",384,17,       0.002189
1,float,uniform,PoisFFT,"P | P",384,18,       0.018690
1,float,uniform,PoisFFT,"P | P",384,19,       0.002382
1,float,uniform,PoisFFT,"P | P",448,0,       0.003916
1,float,uniform,PoisFFT,"P | P",448,1,       0.003217
1,float,uniform,PoisFFT,"P | P",448,2,       0.003141
1,float,uniform,PoisFFT,"P | P",448,3,       0.003137
1,float,uniform,PoisFFT,"P | P",448,4,       0.003115
1,float,uniform,PoisFFT,"P | P",448,5,       0.003128
1,float,uniform,PoisFFT,"P | P",448,6,       0.003147
1,float,uniform,PoisFFT,"P | P",448,7,       0.003137
1,float,uniform,PoisFFT,"P | P",448,8,       0.003136
1,float,uniform,PoisFFT,"P | P",448,9,       0.003125
1,float,uniform,PoisFFT,"P | P",448,10,       0.003137
1,float,uniform,PoisFFT,"P | P",448,11,       0.003118
1,float,uniform,PoisFFT,"P | P",448,12,       0.003114
1,float,uniform,PoisFFT,"P | P",448,13,       0.003132
1,float,uniform,PoisFFT,"P | P",448,14,       0.003125
1,float,uniform,PoisFFT,"P | P",448,15,       0.003406
1,float,uniform,PoisFFT,"P | P",448,16,       0.006895
1,float,uniform,PoisFFT,"P | P",448,17,       0.003353
1,float,uniform,PoisFFT,"P | P",448,18,       0.003362
1,float,uniform,PoisFFT,"P | P",448,19,       0.003357
1,float,uniform,PoisFFT,"P | P",512,0,       0.004074
1,float,uniform,PoisFFT,"P | P",512,1,       0.002927
1,float,uniform,PoisFFT,"P | P",512,2,       0.002857
1,float,uniform,PoisFFT,"P | P",512,3,       0.002826
1,float,uniform,PoisFFT,"P | P",512,4,       0.002805
1,float,uniform,PoisFFT,"P | P",512,5,       0.002801
1,float,uniform,PoisFFT,"P | P",512,6,       0.002791
1,float,uniform,PoisFFT,"P | P",512,7,       0.002807
1,float,uniform,PoisFFT,"P | P",512,8,       0.002824
1,float,uniform,PoisFFT,"P | P",512,9,       0.002794
1,float,uniform,PoisFFT,"P | P",512,10,       0.002794
1,float,uniform,PoisFFT,"P | P",512,11,       0.002799
1,float,uniform,PoisFFT,"P | P",512,12,       0.002812
1,float,uniform,PoisFFT,"P | P",512,13,       0.003568
1,float,uniform,PoisFFT,"P | P",512,14,       0.003041
1,float,uniform,PoisFFT,"P | P",512,15,       0.003063
1,float,uniform,PoisFFT,"P | P",512,16,       0.003092
1,float,uniform,PoisFFT,"P | P",512,17,       0.003047
1,float,uniform,PoisFFT,"P | P",512,18,       0.003054
1,float,uniform,PoisFFT,"P | P",512,19,       0.003045
