dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",64,0,       0.067535
2,double,uniform,PoisFFT,"P | P | P | P",64,1,       0.047797
2,double,uniform,PoisFFT,"P | P | P | P",64,2,       0.047192
2,double,uniform,PoisFFT,"P | P | P | P",64,3,       0.047283
2,double,uniform,PoisFFT,"P | P | P | P",64,4,       0.047318
2,double,uniform,PoisFFT,"P | P | P | P",64,5,       0.046894
2,double,uniform,PoisFFT,"P | P | P | P",64,6,       0.047162
2,double,uniform,PoisFFT,"P | P | P | P",64,7,       0.047215
2,double,uniform,PoisFFT,"P | P | P | P",64,8,       0.047283
2,double,uniform,PoisFFT,"P | P | P | P",64,9,       0.046989
2,double,uniform,PoisFFT,"P | P | P | P",64,10,       0.047257
2,double,uniform,PoisFFT,"P | P | P | P",64,11,       0.046803
2,double,uniform,PoisFFT,"P | P | P | P",64,12,       0.046816
2,double,uniform,PoisFFT,"P | P | P | P",64,13,       0.046859
2,double,uniform,PoisFFT,"P | P | P | P",64,14,       0.047025
2,double,uniform,PoisFFT,"P | P | P | P",64,15,       0.046816
2,double,uniform,PoisFFT,"P | P | P | P",64,16,       0.046952
2,double,uniform,PoisFFT,"P | P | P | P",64,17,       0.047173
2,double,uniform,PoisFFT,"P | P | P | P",64,18,       0.046590
2,double,uniform,PoisFFT,"P | P | P | P",64,19,       0.047085
2,double,uniform,PoisFFT,"P | P | P | P",128,0,       0.224195
2,double,uniform,PoisFFT,"P | P | P | P",128,1,       0.226525
2,double,uniform,PoisFFT,"P | P | P | P",128,2,       0.222383
2,double,uniform,PoisFFT,"P | P | P | P",128,3,       0.221962
2,double,uniform,PoisFFT,"P | P | P | P",128,4,       0.224990
2,double,uniform,PoisFFT,"P | P | P | P",128,5,       0.221605
2,double,uniform,PoisFFT,"P | P | P | P",128,6,       0.221764
2,double,uniform,PoisFFT,"P | P | P | P",128,7,       0.225533
2,double,uniform,PoisFFT,"P | P | P | P",128,8,       0.221749
2,double,uniform,PoisFFT,"P | P | P | P",128,9,       0.221554
2,double,uniform,PoisFFT,"P | P | P | P",128,10,       0.225865
2,double,uniform,PoisFFT,"P | P | P | P",128,11,       0.221569
2,double,uniform,PoisFFT,"P | P | P | P",128,12,       0.221404
2,double,uniform,PoisFFT,"P | P | P | P",128,13,       0.225401
2,double,uniform,PoisFFT,"P | P | P | P",128,14,       0.221735
2,double,uniform,PoisFFT,"P | P | P | P",128,15,       0.223914
2,double,uniform,PoisFFT,"P | P | P | P",128,16,       0.227199
2,double,uniform,PoisFFT,"P | P | P | P",128,17,       0.221684
2,double,uniform,PoisFFT,"P | P | P | P",128,18,       0.221769
2,double,uniform,PoisFFT,"P | P | P | P",128,19,       0.225938
2,double,uniform,PoisFFT,"P | P | P | P",192,0,       0.571290
2,double,uniform,PoisFFT,"P | P | P | P",192,1,       0.568404
2,double,uniform,PoisFFT,"P | P | P | P",192,2,       0.563079
2,double,uniform,PoisFFT,"P | P | P | P",192,3,       0.562227
2,double,uniform,PoisFFT,"P | P | P | P",192,4,       0.567119
2,double,uniform,PoisFFT,"P | P | P | P",192,5,       0.566991
2,double,uniform,PoisFFT,"P | P | P | P",192,6,       0.566467
2,double,uniform,PoisFFT,"P | P | P | P",192,7,       0.562395
2,double,uniform,PoisFFT,"P | P | P | P",192,8,       0.562690
2,double,uniform,PoisFFT,"P | P | P | P",192,9,       0.561965
2,double,uniform,PoisFFT,"P | P | P | P",192,10,       0.566042
2,double,uniform,PoisFFT,"P | P | P | P",192,11,       0.566541
2,double,uniform,PoisFFT,"P | P | P | P",192,12,       0.566277
2,double,uniform,PoisFFT,"P | P | P | P",192,13,       0.562345
2,double,uniform,PoisFFT,"P | P | P | P",192,14,       0.562609
2,double,uniform,PoisFFT,"P | P | P | P",192,15,       0.566255
2,double,uniform,PoisFFT,"P | P | P | P",192,16,       0.566655
2,double,uniform,PoisFFT,"P | P | P | P",192,17,       0.566596
2,double,uniform,PoisFFT,"P | P | P | P",192,18,       0.562114
2,double,uniform,PoisFFT,"P | P | P | P",192,19,       0.562231
2,double,uniform,PoisFFT,"P | P | P | P",256,0,       1.196752
2,double,uniform,PoisFFT,"P | P | P | P",256,1,       1.196653
2,double,uniform,PoisFFT,"P | P | P | P",256,2,       1.197076
2,double,uniform,PoisFFT,"P | P | P | P",256,3,       1.202524
2,double,uniform,PoisFFT,"P | P | P | P",256,4,       1.195673
2,double,uniform,PoisFFT,"P | P | P | P",256,5,       1.192224
2,double,uniform,PoisFFT,"P | P | P | P",256,6,       1.196101
2,double,uniform,PoisFFT,"P | P | P | P",256,7,       1.366861
2,double,uniform,PoisFFT,"P | P | P | P",256,8,       1.231724
2,double,uniform,PoisFFT,"P | P | P | P",256,9,       1.200686
2,double,uniform,PoisFFT,"P | P | P | P",256,10,       1.246943
2,double,uniform,PoisFFT,"P | P | P | P",256,11,       1.204075
2,double,uniform,PoisFFT,"P | P | P | P",256,12,       1.195969
2,double,uniform,PoisFFT,"P | P | P | P",256,13,       1.197426
2,double,uniform,PoisFFT,"P | P | P | P",256,14,       1.192358
2,double,uniform,PoisFFT,"P | P | P | P",256,15,       1.191035
2,double,uniform,PoisFFT,"P | P | P | P",256,16,       1.193313
2,double,uniform,PoisFFT,"P | P | P | P",256,17,       1.194172
2,double,uniform,PoisFFT,"P | P | P | P",256,18,       1.191613
2,double,uniform,PoisFFT,"P | P | P | P",256,19,       1.190850
2,double,uniform,PoisFFT,"P | P | P | P",320,0,       1.706964
2,double,uniform,PoisFFT,"P | P | P | P",320,1,       1.737038
2,double,uniform,PoisFFT,"P | P | P | P",320,2,       1.730354
2,double,uniform,PoisFFT,"P | P | P | P",320,3,       1.741666
2,double,uniform,PoisFFT,"P | P | P | P",320,4,       1.728988
2,double,uniform,PoisFFT,"P | P | P | P",320,5,       1.734182
2,double,uniform,PoisFFT,"P | P | P | P",320,6,       1.734289
2,double,uniform,PoisFFT,"P | P | P | P",320,7,       1.729993
2,double,uniform,PoisFFT,"P | P | P | P",320,8,       1.729125
2,double,uniform,PoisFFT,"P | P | P | P",320,9,       1.730163
2,double,uniform,PoisFFT,"P | P | P | P",320,10,       1.723174
2,double,uniform,PoisFFT,"P | P | P | P",320,11,       1.734356
2,double,uniform,PoisFFT,"P | P | P | P",320,12,       1.729724
2,double,uniform,PoisFFT,"P | P | P | P",320,13,       1.725168
2,double,uniform,PoisFFT,"P | P | P | P",320,14,       1.730504
2,double,uniform,PoisFFT,"P | P | P | P",320,15,       1.732482
2,double,uniform,PoisFFT,"P | P | P | P",320,16,       1.738909
2,double,uniform,PoisFFT,"P | P | P | P",320,17,       1.730607
2,double,uniform,PoisFFT,"P | P | P | P",320,18,       1.733293
2,double,uniform,PoisFFT,"P | P | P | P",320,19,       1.728457
2,double,uniform,PoisFFT,"P | P | P | P",384,0,       2.579069
2,double,uniform,PoisFFT,"P | P | P | P",384,1,       2.603616
2,double,uniform,PoisFFT,"P | P | P | P",384,2,       2.595345
2,double,uniform,PoisFFT,"P | P | P | P",384,3,       2.601202
2,double,uniform,PoisFFT,"P | P | P | P",384,4,       2.602798
2,double,uniform,PoisFFT,"P | P | P | P",384,5,       2.600736
2,double,uniform,PoisFFT,"P | P | P | P",384,6,       2.599235
2,double,uniform,PoisFFT,"P | P | P | P",384,7,       2.601308
2,double,uniform,PoisFFT,"P | P | P | P",384,8,       2.603256
2,double,uniform,PoisFFT,"P | P | P | P",384,9,       2.600247
2,double,uniform,PoisFFT,"P | P | P | P",384,10,       2.598314
2,double,uniform,PoisFFT,"P | P | P | P",384,11,       2.596509
2,double,uniform,PoisFFT,"P | P | P | P",384,12,       2.605515
2,double,uniform,PoisFFT,"P | P | P | P",384,13,       2.597700
2,double,uniform,PoisFFT,"P | P | P | P",384,14,       2.604011
2,double,uniform,PoisFFT,"P | P | P | P",384,15,       2.596397
2,double,uniform,PoisFFT,"P | P | P | P",384,16,       2.597395
2,double,uniform,PoisFFT,"P | P | P | P",384,17,       2.596600
2,double,uniform,PoisFFT,"P | P | P | P",384,18,       2.598836
2,double,uniform,PoisFFT,"P | P | P | P",384,19,       2.594625
2,double,uniform,PoisFFT,"P | P | P | P",448,0,       3.784099
2,double,uniform,PoisFFT,"P | P | P | P",448,1,       3.705923
2,double,uniform,PoisFFT,"P | P | P | P",448,2,       3.727168
2,double,uniform,PoisFFT,"P | P | P | P",448,3,       3.722291
2,double,uniform,PoisFFT,"P | P | P | P",448,4,       3.718271
2,double,uniform,PoisFFT,"P | P | P | P",448,5,       3.732300
2,double,uniform,PoisFFT,"P | P | P | P",448,6,       3.704049
2,double,uniform,PoisFFT,"P | P | P | P",448,7,       3.752067
2,double,uniform,PoisFFT,"P | P | P | P",448,8,       3.716443
2,double,uniform,PoisFFT,"P | P | P | P",448,9,       3.727218
2,double,uniform,PoisFFT,"P | P | P | P",448,10,       3.728410
2,double,uniform,PoisFFT,"P | P | P | P",448,11,       3.725541
2,double,uniform,PoisFFT,"P | P | P | P",448,12,       3.734544
2,double,uniform,PoisFFT,"P | P | P | P",448,13,       3.740177
2,double,uniform,PoisFFT,"P | P | P | P",448,14,       3.778020
2,double,uniform,PoisFFT,"P | P | P | P",448,15,       3.736693
2,double,uniform,PoisFFT,"P | P | P | P",448,16,       3.734224
2,double,uniform,PoisFFT,"P | P | P | P",448,17,       3.736252
