dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,       1.830373
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       1.182585
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.125207
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       1.113015
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       1.120159
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.129091
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.278504
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       1.142263
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.218101
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       1.177328
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.209623
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.182915
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       1.173132
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.280900
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       1.222003
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.197631
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.243731
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.198714
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.226770
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.219379
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,       9.623738
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,       8.990491
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,       9.056127
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,       9.109053
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,       9.019991
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,       9.107850
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,       9.114031
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,       9.062820
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,       9.163977
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,       9.068837
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,       9.038293
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,       9.044825
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,       8.940948
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,       9.103792
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,       9.014621
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,       9.039106
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,       9.157851
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,       9.177821
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,       9.126073
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,       9.004705
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,      45.175404
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,      46.223711
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,      44.785581
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,      44.968055
