dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",64,0,       0.005014
1,double,uniform,PoisFFT,"D | D",64,1,       0.002273
1,double,uniform,PoisFFT,"D | D",64,2,       0.002051
1,double,uniform,PoisFFT,"D | D",64,3,       0.002045
1,double,uniform,PoisFFT,"D | D",64,4,       0.002026
1,double,uniform,PoisFFT,"D | D",64,5,       0.002033
1,double,uniform,PoisFFT,"D | D",64,6,       0.002020
1,double,uniform,PoisFFT,"D | D",64,7,       0.002000
1,double,uniform,PoisFFT,"D | D",64,8,       0.002021
1,double,uniform,PoisFFT,"D | D",64,9,       0.002031
1,double,uniform,PoisFFT,"D | D",64,10,       0.002135
1,double,uniform,PoisFFT,"D | D",64,11,       0.002097
1,double,uniform,PoisFFT,"D | D",64,12,       0.002080
1,double,uniform,PoisFFT,"D | D",64,13,       0.002068
1,double,uniform,PoisFFT,"D | D",64,14,       0.002094
1,double,uniform,PoisFFT,"D | D",64,15,       0.002100
1,double,uniform,PoisFFT,"D | D",64,16,       0.002099
1,double,uniform,PoisFFT,"D | D",64,17,       0.002102
1,double,uniform,PoisFFT,"D | D",64,18,       0.002095
1,double,uniform,PoisFFT,"D | D",64,19,       0.002075
1,double,uniform,PoisFFT,"D | D",128,0,       0.007915
1,double,uniform,PoisFFT,"D | D",128,1,       0.007245
1,double,uniform,PoisFFT,"D | D",128,2,       0.007167
1,double,uniform,PoisFFT,"D | D",128,3,       0.007220
1,double,uniform,PoisFFT,"D | D",128,4,       0.007126
1,double,uniform,PoisFFT,"D | D",128,5,       0.007097
1,double,uniform,PoisFFT,"D | D",128,6,       0.007121
1,double,uniform,PoisFFT,"D | D",128,7,       0.010116
1,double,uniform,PoisFFT,"D | D",128,8,       0.007117
1,double,uniform,PoisFFT,"D | D",128,9,       0.023991
1,double,uniform,PoisFFT,"D | D",128,10,       0.007648
1,double,uniform,PoisFFT,"D | D",128,11,       0.007672
1,double,uniform,PoisFFT,"D | D",128,12,       0.007650
1,double,uniform,PoisFFT,"D | D",128,13,       0.007667
1,double,uniform,PoisFFT,"D | D",128,14,       0.007634
1,double,uniform,PoisFFT,"D | D",128,15,       0.007653
1,double,uniform,PoisFFT,"D | D",128,16,       0.007688
1,double,uniform,PoisFFT,"D | D",128,17,       0.007675
1,double,uniform,PoisFFT,"D | D",128,18,       0.007680
1,double,uniform,PoisFFT,"D | D",128,19,       0.024646
1,double,uniform,PoisFFT,"D | D",192,0,       0.035350
1,double,uniform,PoisFFT,"D | D",192,1,       0.033788
1,double,uniform,PoisFFT,"D | D",192,2,       0.051214
1,double,uniform,PoisFFT,"D | D",192,3,       0.036186
1,double,uniform,PoisFFT,"D | D",192,4,       0.036236
1,double,uniform,PoisFFT,"D | D",192,5,       0.036189
1,double,uniform,PoisFFT,"D | D",192,6,       0.036182
1,double,uniform,PoisFFT,"D | D",192,7,       0.036191
1,double,uniform,PoisFFT,"D | D",192,8,       0.036163
1,double,uniform,PoisFFT,"D | D",192,9,       0.036152
1,double,uniform,PoisFFT,"D | D",192,10,       0.036174
1,double,uniform,PoisFFT,"D | D",192,11,       0.036188
1,double,uniform,PoisFFT,"D | D",192,12,       0.036138
1,double,uniform,PoisFFT,"D | D",192,13,       0.036236
1,double,uniform,PoisFFT,"D | D",192,14,       0.036243
1,double,uniform,PoisFFT,"D | D",192,15,       0.036189
1,double,uniform,PoisFFT,"D | D",192,16,       0.036227
1,double,uniform,PoisFFT,"D | D",192,17,       0.036229
1,double,uniform,PoisFFT,"D | D",192,18,       0.036144
1,double,uniform,PoisFFT,"D | D",192,19,       0.036189
1,double,uniform,PoisFFT,"D | D",256,0,       0.045807
1,double,uniform,PoisFFT,"D | D",256,1,       0.060690
1,double,uniform,PoisFFT,"D | D",256,2,       0.047635
1,double,uniform,PoisFFT,"D | D",256,3,       0.047717
1,double,uniform,PoisFFT,"D | D",256,4,       0.047534
1,double,uniform,PoisFFT,"D | D",256,5,       0.047563
1,double,uniform,PoisFFT,"D | D",256,6,       0.047607
1,double,uniform,PoisFFT,"D | D",256,7,       0.047630
1,double,uniform,PoisFFT,"D | D",256,8,       0.047662
1,double,uniform,PoisFFT,"D | D",256,9,       0.047553
1,double,uniform,PoisFFT,"D | D",256,10,       0.047597
1,double,uniform,PoisFFT,"D | D",256,11,       0.047583
1,double,uniform,PoisFFT,"D | D",256,12,       0.047555
1,double,uniform,PoisFFT,"D | D",256,13,       0.047589
1,double,uniform,PoisFFT,"D | D",256,14,       0.047551
1,double,uniform,PoisFFT,"D | D",256,15,       0.043600
1,double,uniform,PoisFFT,"D | D",256,16,       0.062893
1,double,uniform,PoisFFT,"D | D",256,17,       0.051365
1,double,uniform,PoisFFT,"D | D",256,18,       0.051496
1,double,uniform,PoisFFT,"D | D",256,19,       0.051333
1,double,uniform,PoisFFT,"D | D",320,0,       0.030049
1,double,uniform,PoisFFT,"D | D",320,1,       0.050458
1,double,uniform,PoisFFT,"D | D",320,2,       0.057794
1,double,uniform,PoisFFT,"D | D",320,3,       0.042009
1,double,uniform,PoisFFT,"D | D",320,4,       0.042040
1,double,uniform,PoisFFT,"D | D",320,5,       0.041992
1,double,uniform,PoisFFT,"D | D",320,6,       0.041941
1,double,uniform,PoisFFT,"D | D",320,7,       0.042017
1,double,uniform,PoisFFT,"D | D",320,8,       0.041866
1,double,uniform,PoisFFT,"D | D",320,9,       0.042035
1,double,uniform,PoisFFT,"D | D",320,10,       0.042054
1,double,uniform,PoisFFT,"D | D",320,11,       0.041922
1,double,uniform,PoisFFT,"D | D",320,12,       0.042093
1,double,uniform,PoisFFT,"D | D",320,13,       0.041946
1,double,uniform,PoisFFT,"D | D",320,14,       0.041954
1,double,uniform,PoisFFT,"D | D",320,15,       0.045301
1,double,uniform,PoisFFT,"D | D",320,16,       0.042060
1,double,uniform,PoisFFT,"D | D",320,17,       0.041904
1,double,uniform,PoisFFT,"D | D",320,18,       0.041933
1,double,uniform,PoisFFT,"D | D",320,19,       0.042060
1,double,uniform,PoisFFT,"D | D",384,0,       0.014502
1,double,uniform,PoisFFT,"D | D",384,1,       0.013731
1,double,uniform,PoisFFT,"D | D",384,2,       0.013685
1,double,uniform,PoisFFT,"D | D",384,3,       0.013653
1,double,uniform,PoisFFT,"D | D",384,4,       0.013724
1,double,uniform,PoisFFT,"D | D",384,5,       0.030880
1,double,uniform,PoisFFT,"D | D",384,6,       0.014714
