dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.179292
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.518660
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.529624
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.519998
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.529603
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.513364
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.514742
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.518592
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.530160
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.517866
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.522516
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.511862
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.520466
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.518810
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.500637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.526465
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.532398
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.524216
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.525366
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.514444
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,0,       4.022418
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,1,       3.996380
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,2,       3.967599
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,3,       3.993846
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,4,       3.985108
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,5,       4.003501
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,6,       3.988363
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,7,       3.974147
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,8,       3.976582
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,9,       3.988537
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,10,       3.969943
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,11,       3.972541
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,12,       3.989753
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,13,       3.974229
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,14,       4.031523
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,15,       4.021174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,16,       3.984113
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,17,       3.999231
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,18,       3.985297
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,19,       3.966050
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,0,      18.581652
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,1,      18.349108
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,2,      17.550571
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,3,      17.719170
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,4,      17.591041
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,5,      18.211535
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,6,      17.666359
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,7,      17.992775
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,8,      17.995912
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,9,      17.715819
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,10,      17.632388
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,11,      17.610593
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,12,      18.045239
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,13,      17.701019
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,14,      18.653742
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,15,      18.197539
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,16,      17.983263
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,17,      17.452564
