dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       1.764786
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       1.589356
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       1.622939
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       1.610100
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       1.608004
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       1.605227
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       1.611467
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       1.625324
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       1.625528
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       1.613336
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       1.613826
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       1.618392
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       1.627218
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       1.601991
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       1.618314
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       1.636946
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       1.619974
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       1.610308
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       1.615575
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       1.599776
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,0,      26.304474
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,1,      25.675369
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,2,      24.563214
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,3,      25.605308
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,4,      25.695984
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,5,      24.838736
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,6,      25.646388
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,7,      25.634728
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,8,      25.729152
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,9,      24.581586
