dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,       1.440761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       0.716154
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.727875
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.724534
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.724491
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.722040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.712752
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.717786
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.718997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.721106
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.725210
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.715396
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.726536
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.719472
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.720574
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.717897
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.709975
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.718602
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.717532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.726764
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,       6.121058
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,       5.927478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,       6.008076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,       5.949557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,       5.839841
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,       5.880558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,       5.924885
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,       5.927442
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,       5.934581
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,       5.911235
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,       5.934821
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,       5.921291
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,       5.978241
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,       5.993922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,       5.908144
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,       5.950814
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,       5.920617
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,       5.890042
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,       5.989749
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,       5.977623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,      25.708418
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,      25.168922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,      25.071713
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,      26.057806
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,      25.160238
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,      25.024395
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,      25.388637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,      25.182849
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,      25.793823
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,      25.261513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,      24.993502
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,      25.480525
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,      25.216801
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,      25.089450
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,      25.344360
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,      25.489452
