dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,       1.753078
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       1.152549
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.286374
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.113286
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.258560
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.073320
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.369862
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.238288
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.096080
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.249737
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       1.245253
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.250184
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.282396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.169724
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.370781
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.243657
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.275946
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.284483
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.205745
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.184539
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,       9.513278
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,       8.943875
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,       9.415644
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,       8.947814
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,       9.085317
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,       8.834920
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,       9.158155
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,       9.043487
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,       9.152548
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,       8.917425
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,       8.875140
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,       8.988044
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,12,       9.018415
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,13,       8.957471
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,14,       9.023029
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,15,       8.972388
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,16,       8.980505
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,17,       8.936467
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,18,       8.979776
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,19,       8.979723
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      43.931947
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      44.243377
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      43.458164
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      43.791942
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      43.815941
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      43.947328
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      43.915302
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      43.443658
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      43.969980
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      43.993066
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      44.019919
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,11,      43.574633
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,12,      43.931826
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,13,      43.639724
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,14,      44.501860
