dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.207574
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.512908
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.508691
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.491418
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.490144
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.501104
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.497673
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.499424
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.494166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.494875
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.498109
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.501502
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.498885
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.488322
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.495150
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.495421
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.505749
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.491206
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.494115
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.492971
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       4.070674
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       3.944645
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       3.968109
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       3.953111
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       3.938161
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       3.969984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       3.948604
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       3.978604
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       3.941619
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       3.952387
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       3.942015
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       3.944743
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       3.952688
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       3.936992
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       3.962503
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       3.937490
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       3.966152
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       3.964748
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       3.968266
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       3.973916
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,0,      18.227740
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,1,      18.179638
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,2,      17.861359
