dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ds | Ns",64,0,       0.002960
1,double,uniform,PoisFFT,"Ds | Ns",64,1,       0.000978
1,double,uniform,PoisFFT,"Ds | Ns",64,2,       0.000908
1,double,uniform,PoisFFT,"Ds | Ns",64,3,       0.000887
1,double,uniform,PoisFFT,"Ds | Ns",64,4,       0.000887
1,double,uniform,PoisFFT,"Ds | Ns",64,5,       0.000872
1,double,uniform,PoisFFT,"Ds | Ns",64,6,       0.000857
1,double,uniform,PoisFFT,"Ds | Ns",64,7,       0.000868
1,double,uniform,PoisFFT,"Ds | Ns",64,8,       0.000859
1,double,uniform,PoisFFT,"Ds | Ns",64,9,       0.000857
1,double,uniform,PoisFFT,"Ds | Ns",64,10,       0.000877
1,double,uniform,PoisFFT,"Ds | Ns",64,11,       0.000868
1,double,uniform,PoisFFT,"Ds | Ns",64,12,       0.000860
1,double,uniform,PoisFFT,"Ds | Ns",64,13,       0.000858
1,double,uniform,PoisFFT,"Ds | Ns",64,14,       0.000863
1,double,uniform,PoisFFT,"Ds | Ns",64,15,       0.000866
1,double,uniform,PoisFFT,"Ds | Ns",64,16,       0.000859
1,double,uniform,PoisFFT,"Ds | Ns",64,17,       0.000856
1,double,uniform,PoisFFT,"Ds | Ns",64,18,       0.000862
1,double,uniform,PoisFFT,"Ds | Ns",64,19,       0.000869
1,double,uniform,PoisFFT,"Ds | Ns",128,0,       0.001743
1,double,uniform,PoisFFT,"Ds | Ns",128,1,       0.001586
1,double,uniform,PoisFFT,"Ds | Ns",128,2,       0.001537
1,double,uniform,PoisFFT,"Ds | Ns",128,3,       0.001533
1,double,uniform,PoisFFT,"Ds | Ns",128,4,       0.001535
1,double,uniform,PoisFFT,"Ds | Ns",128,5,       0.001536
1,double,uniform,PoisFFT,"Ds | Ns",128,6,       0.001531
1,double,uniform,PoisFFT,"Ds | Ns",128,7,       0.001548
1,double,uniform,PoisFFT,"Ds | Ns",128,8,       0.001537
1,double,uniform,PoisFFT,"Ds | Ns",128,9,       0.001532
1,double,uniform,PoisFFT,"Ds | Ns",128,10,       0.001539
1,double,uniform,PoisFFT,"Ds | Ns",128,11,       0.001544
1,double,uniform,PoisFFT,"Ds | Ns",128,12,       0.001539
1,double,uniform,PoisFFT,"Ds | Ns",128,13,       0.001525
