dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ds | Ns",320,18,       0.004276
1,float,uniform,PoisFFT,"Ds | Ns",320,19,       0.004265
1,float,uniform,PoisFFT,"Ds | Ns",384,0,       0.005986
1,float,uniform,PoisFFT,"Ds | Ns",384,1,       0.005376
1,float,uniform,PoisFFT,"Ds | Ns",384,2,       0.005391
1,float,uniform,PoisFFT,"Ds | Ns",384,3,       0.005355
1,float,uniform,PoisFFT,"Ds | Ns",384,4,       0.005347
1,float,uniform,PoisFFT,"Ds | Ns",384,5,       0.005345
1,float,uniform,PoisFFT,"Ds | Ns",384,6,       0.005328
1,float,uniform,PoisFFT,"Ds | Ns",384,7,       0.005327
1,float,uniform,PoisFFT,"Ds | Ns",384,8,       0.005337
1,float,uniform,PoisFFT,"Ds | Ns",384,9,       0.005334
1,float,uniform,PoisFFT,"Ds | Ns",384,10,       0.005362
1,float,uniform,PoisFFT,"Ds | Ns",384,11,       0.022077
1,float,uniform,PoisFFT,"Ds | Ns",384,12,       0.005743
1,float,uniform,PoisFFT,"Ds | Ns",384,13,       0.005694
1,float,uniform,PoisFFT,"Ds | Ns",384,14,       0.005723
1,float,uniform,PoisFFT,"Ds | Ns",384,15,       0.005721
1,float,uniform,PoisFFT,"Ds | Ns",384,16,       0.005715
1,float,uniform,PoisFFT,"Ds | Ns",384,17,       0.005706
1,float,uniform,PoisFFT,"Ds | Ns",384,18,       0.005744
1,float,uniform,PoisFFT,"Ds | Ns",384,19,       0.005738
1,float,uniform,PoisFFT,"Ds | Ns",448,0,       0.006712
1,float,uniform,PoisFFT,"Ds | Ns",448,1,       0.006299
1,float,uniform,PoisFFT,"Ds | Ns",448,2,       0.006292
1,float,uniform,PoisFFT,"Ds | Ns",448,3,       0.006325
1,float,uniform,PoisFFT,"Ds | Ns",448,4,       0.006267
1,float,uniform,PoisFFT,"Ds | Ns",448,5,       0.006268
1,float,uniform,PoisFFT,"Ds | Ns",448,6,       0.006267
1,float,uniform,PoisFFT,"Ds | Ns",448,7,       0.006282
1,float,uniform,PoisFFT,"Ds | Ns",448,8,       0.006273
1,float,uniform,PoisFFT,"Ds | Ns",448,9,       0.022865
1,float,uniform,PoisFFT,"Ds | Ns",448,10,       0.006781
1,float,uniform,PoisFFT,"Ds | Ns",448,11,       0.006718
1,float,uniform,PoisFFT,"Ds | Ns",448,12,       0.006730
1,float,uniform,PoisFFT,"Ds | Ns",448,13,       0.006718
1,float,uniform,PoisFFT,"Ds | Ns",448,14,       0.006738
1,float,uniform,PoisFFT,"Ds | Ns",448,15,       0.006730
1,float,uniform,PoisFFT,"Ds | Ns",448,16,       0.006749
1,float,uniform,PoisFFT,"Ds | Ns",448,17,       0.006710
1,float,uniform,PoisFFT,"Ds | Ns",448,18,       0.010372
1,float,uniform,PoisFFT,"Ds | Ns",448,19,       0.006770
1,float,uniform,PoisFFT,"Ds | Ns",512,0,       0.006729
1,float,uniform,PoisFFT,"Ds | Ns",512,1,       0.006325
1,float,uniform,PoisFFT,"Ds | Ns",512,2,       0.006246
1,float,uniform,PoisFFT,"Ds | Ns",512,3,       0.006270
1,float,uniform,PoisFFT,"Ds | Ns",512,4,       0.006210
1,float,uniform,PoisFFT,"Ds | Ns",512,5,       0.006211
1,float,uniform,PoisFFT,"Ds | Ns",512,6,       0.006212
1,float,uniform,PoisFFT,"Ds | Ns",512,7,       0.007310
1,float,uniform,PoisFFT,"Ds | Ns",512,8,       0.006741
1,float,uniform,PoisFFT,"Ds | Ns",512,9,       0.006717
1,float,uniform,PoisFFT,"Ds | Ns",512,10,       0.006713
1,float,uniform,PoisFFT,"Ds | Ns",512,11,       0.006681
1,float,uniform,PoisFFT,"Ds | Ns",512,12,       0.006686
1,float,uniform,PoisFFT,"Ds | Ns",512,13,       0.006662
1,float,uniform,PoisFFT,"Ds | Ns",512,14,       0.006703
1,float,uniform,PoisFFT,"Ds | Ns",512,15,       0.006700
1,float,uniform,PoisFFT,"Ds | Ns",512,16,       0.006692
1,float,uniform,PoisFFT,"Ds | Ns",512,17,       0.006687
1,float,uniform,PoisFFT,"Ds | Ns",512,18,       0.006696
1,float,uniform,PoisFFT,"Ds | Ns",512,19,       0.006704
