dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       2.466081
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       1.939036
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       1.915403
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       1.889268
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       1.923730
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       1.927041
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       1.939016
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       1.961402
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       1.985173
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       1.938834
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       1.987678
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       1.969664
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       1.941736
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       1.994442
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       2.004630
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       1.993724
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       1.996800
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       2.007797
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       1.891279
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.015612
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      39.218652
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      38.607274
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      38.640806
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      38.366485
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      38.479356
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,5,      38.460082
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,6,      38.512984
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,7,      38.587647
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,8,      38.656940
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,9,      38.441717
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,10,      38.377223
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,11,      38.446224
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,12,      38.366961
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,13,      38.459875
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,14,      42.589121
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,15,      38.831502
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,16,      38.572296
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,17,      38.506322
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,18,      38.510671
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,19,      38.380768
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,0,     194.360532
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,1,     193.573400
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,2,     193.970592
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,3,     193.474381
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,4,     194.106425
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,5,     194.036847
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,6,     193.760905
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,7,     193.557558
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,8,     194.147071
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,9,     194.202427
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,10,     193.919168
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,11,     194.744461
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,12,     193.578198
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,13,     193.742661
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,14,     193.987626
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,15,     194.456540
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,16,     194.793445
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,17,     194.453408
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,18,     194.023283
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,19,     193.917367
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,0,     171.398270
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,1,     172.594096
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,2,     173.455690
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,3,     172.359062
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,4,     172.726871
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,5,     172.567590
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,6,     172.034866
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,7,     172.668371
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,8,     173.249490
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,9,     172.994703
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,10,     172.912012
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,11,     173.464227
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,12,     172.905453
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,13,     172.436876
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,14,     172.241010
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,15,     174.926968
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,16,     173.437352
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,17,     173.279011
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,18,     173.218911
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,19,     173.308688
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,0,     421.091946
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,1,     418.183665
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,2,     419.479454
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,3,     419.443421
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,4,     418.469229
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,5,     420.003643
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,6,     419.274890
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,7,     418.874314
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,8,     419.236807
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,9,     419.053301
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,10,     417.099173
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,11,     419.957761
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,12,     418.632557
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,13,     419.824618
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,14,     420.344443
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,15,     420.426234
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,16,     419.336632
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,17,     409.573425
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,18,     418.012406
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,19,     418.163779
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,0,    1660.361616
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,1,    1670.187322
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,2,    1671.279785
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,3,    1666.768030
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,4,    1665.794331
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,5,    1668.038454
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,6,    1678.490712
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,7,    1669.282818
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,8,    1677.480182
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,9,    1666.816201
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,10,    1671.488757
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,11,    1670.377152
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,12,    1668.446367
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,13,    1672.838443
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,14,    1669.789994
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,15,    1676.567873
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,16,    1661.881515
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,17,    1675.972033
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,18,    1675.720638
3,double,uniform,PoisFFT,"N | D | N | N | N | N",384,19,    1672.836010
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,0,    2158.832463
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,1,    2153.915100
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,2,    2152.427475
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,3,    2163.295044
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,4,    2155.087043
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,5,    2160.333805
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,6,    2158.001801
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,7,    2158.357551
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,8,    2157.600477
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,9,    2161.865890
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,10,    2156.705763
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,11,    2155.806711
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,12,    2144.404413
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,13,    2154.795410
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,14,    2150.391455
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,15,    2159.179143
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,16,    2157.298899
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,17,    2157.594579
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,18,    2165.409908
3,double,uniform,PoisFFT,"N | D | N | N | N | N",448,19,    2153.529040
3,double,uniform,PoisFFT,"N | D | N | N | N | N",512,0,    2172.117123
3,double,uniform,PoisFFT,"N | D | N | N | N | N",512,1,    2182.831051
3,double,uniform,PoisFFT,"N | D | N | N | N | N",512,2,    2206.849164
3,double,uniform,PoisFFT,"N | D | N | N | N | N",512,3,    2172.197467
3,double,uniform,PoisFFT,"N | D | N | N | N | N",512,4,    2158.479031
