dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.607774
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.593356
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.586255
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.594779
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.589955
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.588254
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.571374
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.583961
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.589397
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.583523
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.589400
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.571573
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.578533
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.577250
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.577534
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.590681
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.578835
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.585488
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.595223
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.588805
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,0,       5.651621
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,1,       5.695518
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,2,       5.704040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,3,       5.713943
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,4,       5.621278
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,5,       5.635967
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,6,       5.696074
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,7,       5.677370
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,8,       5.651591
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,9,       5.643548
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,10,       5.643351
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,11,       5.698040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,12,       5.693172
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,13,       5.674040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,14,       5.705101
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,15,       5.630292
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,16,       7.138194
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,17,       5.912322
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,18,       5.581695
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,19,       5.657642
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,0,      27.171851
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,1,      26.530340
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,2,      27.134226
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,3,      27.572621
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,4,      26.889634
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,5,      26.664670
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,6,      27.186107
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,7,      27.236420
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,8,      26.762853
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,9,      27.272803
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,10,      27.503649
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,11,      28.034459
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,12,      27.622090
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,13,      27.007065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,14,      26.480088
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,15,      26.242608
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,16,      26.666040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,17,      27.942286
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,18,      27.134209
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,19,      27.584662
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,0,     102.271642
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,1,     105.957544
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,2,     107.203966
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,3,     107.296502
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,4,     106.271568
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,5,     106.662822
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,6,     106.820154
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,7,     103.331664
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,8,     105.132436
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,9,     105.556297
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,10,     104.113304
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,11,     103.831648
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,12,     103.461300
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,13,     105.766945
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,14,     103.124272
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,15,     101.975616
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,16,     106.405162
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,17,     101.390272
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,18,     104.521492
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,19,     105.366438
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,0,     151.179510
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,1,     152.677452
