dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.234558
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.517979
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.514463
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.507083
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.504837
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.504817
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.505043
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.505382
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.509592
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.505839
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.506431
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.502338
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.490904
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.506764
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.509766
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.522129
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.513010
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.510663
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.509525
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.509031
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       4.219406
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       4.131756
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       4.299490
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       4.126610
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       4.132976
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       4.116899
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       4.135731
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       4.107874
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       4.010128
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       4.151012
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       4.134671
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       4.113332
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       4.120730
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       4.100743
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       4.116792
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       4.093467
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       4.141207
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       4.116389
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       4.123455
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       4.103092
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      18.068663
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      17.888224
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      17.853432
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      17.607042
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      17.965727
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,5,      17.957985
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,6,      18.006418
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,7,      17.881321
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,8,      18.033350
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,9,      18.099983
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,10,      17.850496
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,11,      17.823879
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,12,      17.754972
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,13,      17.843481
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,14,      18.032495
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,15,      17.704017
