dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.208829
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.589126
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.526901
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.591597
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.594558
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.568549
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.558246
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.570462
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.589313
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.550452
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.540201
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.574932
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.582374
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.580230
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.596648
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.582966
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.581000
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.594258
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.581462
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.583138
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,0,       4.071358
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,1,       3.999753
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,2,       4.006037
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,3,       4.120431
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,4,       3.983296
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,5,       4.011169
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,6,       3.996081
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,7,       3.964759
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,8,       3.985255
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,9,       3.990513
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,10,       4.001169
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,11,       3.990380
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,12,       3.971518
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,13,       3.997188
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,14,       3.990363
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,15,       3.989685
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,16,       3.982205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,17,       3.964719
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,18,       3.979034
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,19,       3.983559
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,0,      18.122496
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,1,      17.782800
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,2,      17.668661
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,3,      17.375458
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,4,      17.690072
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,5,      17.257848
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,6,      17.361810
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,7,      17.284919
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,8,      17.201241
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,9,      18.116093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,10,      17.492914
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,11,      17.727398
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,12,      17.601688
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,13,      17.100757
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,14,      17.303437
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,15,      17.147454
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,16,      17.571741
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,17,      17.353655
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,18,      17.460220
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,19,      17.572053
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,0,     105.040445
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,1,     104.857945
