dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,0,       2.073639
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,1,       1.302145
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       1.287167
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       1.296805
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       1.312035
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       1.324378
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       1.293876
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       1.288708
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       1.301563
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       1.280013
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       1.287438
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       1.301573
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       1.279898
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       1.291173
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       1.292231
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       1.272814
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       1.277270
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       1.267505
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       1.320740
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       1.289614
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,0,      18.418101
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,1,      18.388393
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,2,      17.673528
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,3,      18.480724
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,4,      17.790176
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,5,      18.344678
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,6,      17.720933
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,7,      18.241487
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,8,      18.378943
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,9,      18.326017
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,10,      18.387671
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,11,      17.758540
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,12,      18.387393
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,13,      18.370242
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,14,      18.434539
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,15,      18.422918
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,16,      18.357118
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,17,      18.285220
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,18,      18.342233
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,19,      18.381315
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,0,     143.888712
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,1,     143.810332
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,2,     143.804115
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,3,     143.571902
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,4,     143.793378
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,5,     143.520728
