dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.298593
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.567626
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.571530
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.566586
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.563172
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.561624
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.569447
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.566318
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.573822
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.575009
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.567501
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.565594
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.571384
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.566142
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.560686
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.575590
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.573788
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.569978
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.565486
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.562822
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       5.695876
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       5.621682
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       5.673967
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       5.595827
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       5.697746
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       5.812938
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       5.697467
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       5.600993
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       5.659894
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       5.648710
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       5.628626
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       5.680354
