dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       1.533413
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       0.897788
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       0.892355
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       0.921007
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       0.871293
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       0.885029
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       0.947932
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       0.959801
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       1.002744
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       0.950300
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       0.924668
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.964601
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.892987
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.933686
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.926582
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.975400
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.978537
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.948386
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.986233
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.940730
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       5.335937
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       5.266524
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       5.288869
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       5.332091
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       5.281934
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       5.263409
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       5.294488
