dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       0.743888
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.520620
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.522599
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.526747
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.522941
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.522234
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.526417
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.520650
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.523862
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.525876
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.521879
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.524326
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.519830
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.524996
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.520355
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.524302
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.520755
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.520301
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.525246
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.519402
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,       5.470339
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,       5.285625
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,       5.214753
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,       5.184545
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       5.128879
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       5.152298
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,       5.200409
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       5.238897
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,       5.276220
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,       5.188941
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,       5.168512
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,       5.072318
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,       5.395177
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,       5.112868
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,       5.106278
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,       5.417973
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,       5.109424
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,       5.077955
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,       5.243918
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,       5.062143
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,      20.791017
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,      20.265381
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,      20.449842
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,      20.260082
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,      20.210209
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,      20.227565
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,      20.209847
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,      20.504838
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,      20.418716
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,      20.259622
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,      20.217650
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,      20.304679
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,      20.314207
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,      20.393501
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,      20.182336
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,      20.327075
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,      20.347663
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,      20.251725
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,      20.192823
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,      20.166015
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,0,      51.433318
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,1,      51.330342
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,2,      51.316393
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,3,      51.096173
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,4,      51.146836
