dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       1.368879
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.529224
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.535445
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.532634
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.529969
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.537235
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.532932
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.531308
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.534473
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.535640
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.538913
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.532903
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.537275
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.530664
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.535260
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.536010
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.531608
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.533944
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.534883
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.534660
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,       5.416610
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,       5.177783
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,       5.429159
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,       5.386202
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       5.368721
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       5.203177
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,       5.120424
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       5.181346
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,       5.095596
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,       5.135961
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,       5.140606
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,       5.146860
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,       5.085823
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,       5.267635
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,       5.226788
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,       5.251851
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,       5.231518
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,       5.273809
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,       5.234599
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,       5.207749
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,      20.939536
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,      20.675226
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,      20.651153
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,      20.802847
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,      20.582804
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,      20.709946
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,      20.669858
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,      20.700910
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,      21.579069
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,      20.638637
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,      20.748333
