dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.228925
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.518267
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.514398
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.499388
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.511843
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.496929
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.504472
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.511492
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.505703
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.512694
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.519073
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.499648
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.510874
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.514263
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.506744
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.494067
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.507257
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.508850
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.511310
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.510256
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       4.009719
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       3.963142
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       3.975293
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       3.952651
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       3.956365
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       3.967187
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       3.964736
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       3.943382
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       3.985137
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       3.972958
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       3.951307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       3.969010
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       3.932380
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       3.975816
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       3.931588
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       3.957185
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       3.987430
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       3.993059
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       3.970377
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       3.970503
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,0,      18.331816
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,1,      18.308543
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,2,      18.229746
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,3,      18.247308
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,4,      18.801554
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,5,      18.660459
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,6,      18.390679
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,7,      18.560461
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,8,      18.109271
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,9,      18.318517
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,10,      18.374581
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,11,      18.093525
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,12,      18.187064
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,13,      17.999700
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,14,      18.069626
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,15,      18.386364
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,16,      18.379537
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,17,      17.861247
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,18,      18.062697
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,19,      18.181803
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,0,      96.907794
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,1,      99.558132
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,2,      99.765728
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,3,      93.359478
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,4,      90.298749
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,5,      92.712964
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,6,      90.763777
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,7,      90.768618
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,8,      92.522776
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,9,      89.527930
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,10,      87.593804
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,11,      88.620983
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,12,      91.796133
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,13,      88.804830
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,14,      89.402405
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,15,      87.338160
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,16,      91.202876
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,17,      87.737898
3,float,uniform,PoisFFT,"P | P | P | P | D | N",256,18,      89.221338
