dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,       1.512158
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,       0.615290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,       0.611937
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,       0.624512
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,       0.617513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.610440
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.616051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.614452
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       0.619830
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.632993
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.628013
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.615053
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.609164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.620862
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.629173
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.612550
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.607258
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.619277
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.611493
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.621477
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       5.096028
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       4.964659
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       4.966073
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       4.990611
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       4.983270
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       4.977374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       4.965652
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       4.981343
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       4.993727
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       4.987432
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       5.012890
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       5.199572
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       4.982588
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       4.979679
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       4.961670
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       4.961825
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       4.974901
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       4.967185
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       5.045779
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       4.968662
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,      21.934582
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,      21.386032
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,      21.457046
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,      21.595621
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,      21.585778
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,      21.474080
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,      21.486144
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,      21.460634
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,      21.315232
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,      21.051329
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,      21.575817
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,      21.436686
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,      21.588781
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,      21.508002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,      21.562245
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,      21.352481
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,      21.571245
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,      21.296442
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,      21.302220
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,      21.499832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,      70.234867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,      68.381116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,      67.569961
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,      68.294675
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,      69.305590
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,      69.293518
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,      67.144628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,      68.202580
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,      68.519831
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,      69.431741
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,      68.548378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,      67.850305
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,      69.362185
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,      68.340248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,      70.393619
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,15,      68.613709
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,16,      69.204409
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,17,      69.087186
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,18,      68.781763
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,19,      68.269318
