dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       6.881325
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.572800
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.570640
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.566363
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.574392
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.573502
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.567411
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.572334
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.569216
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.570649
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.564697
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.565303
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.569019
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.566444
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.565323
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.568347
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.574609
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.567477
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.572582
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.576727
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       5.609746
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       5.638093
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       5.692520
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       5.639186
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       5.721489
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       5.635572
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       5.707246
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       5.573060
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       5.727713
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       5.662654
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       5.697101
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       5.688698
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       5.615592
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       5.605985
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       6.337836
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       5.665584
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       5.648593
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       5.634020
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       5.733712
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       5.709291
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      25.143241
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      25.174353
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      24.849268
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      24.863476
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      25.544005
