dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,      16.796296
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,      18.889633
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,      24.253624
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,      16.121293
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,      18.974663
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,      18.748665
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,      18.832713
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,      18.882013
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,      18.830423
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,      12.764231
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.236688
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.231157
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.228918
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.228938
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.227588
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.226988
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.226278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.232068
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.227587
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.228917
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,20,       0.230848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,21,       0.230218
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,22,       0.227238
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,23,       0.228457
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,24,       0.231787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,25,       0.234838
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,26,       0.227218
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,27,       0.229428
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,28,       0.230927
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,29,       0.232057
