dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,0,      17.185903
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,1,      12.071049
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       0.467894
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       0.471384
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       0.467285
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       0.474134
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       0.472215
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       0.474135
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       0.476925
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       0.471135
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       0.468255
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       0.470095
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       0.464545
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       0.467385
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       0.463685
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       0.472295
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       0.470725
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       0.466925
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       0.470304
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       0.465475
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,20,       0.470935
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,21,       0.467635
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,22,       0.473725
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,23,       0.465095
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,24,       0.476194
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,25,       0.468105
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,26,       0.464565
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,27,       0.474645
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,28,       0.473475
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,29,       0.472325
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,30,       0.477724
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,31,       0.477214
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,32,       0.475035
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,33,       0.471775
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,34,       0.475075
