dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,       0.493295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,       0.488495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,       0.498165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,       0.487175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,       0.503374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,       0.474165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,       0.484244
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,       0.477384
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,       0.491685
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,       0.475546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,       0.488595
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,       0.481165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,       0.490255
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,       0.486475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,       0.490874
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,       0.453176
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,       0.474405
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,       0.471795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,       0.478195
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,       0.476795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,       3.605372
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,       3.235115
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,       3.379424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,       3.395644
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,       3.272745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,       3.427074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,       3.322845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,       3.341925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,       3.267795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,       3.293285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,       3.312385
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,       3.285775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,       3.220876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,       3.223946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,       3.271445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,       3.165056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,       3.253316
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,       3.211146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,       3.219646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,       3.143657
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,20,       3.333664
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,21,       3.205696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,22,       3.166757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,23,       3.254765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,24,       3.231466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,25,       3.304565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,26,       3.244416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,27,       3.221906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,28,       3.228196
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,29,       3.245535
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,30,       3.386424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,31,       3.265136
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,32,       3.358515
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,33,       3.138467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,34,       3.271675
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,35,       3.306815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,36,       3.228386
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,37,       3.271275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,38,       3.280866
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,39,       3.345964
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,40,       3.282725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,41,       3.335945
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,42,       3.157836
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,43,       3.170686
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,44,       3.202346
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,45,       3.347805
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,46,       3.273275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,47,       3.175406
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,48,       3.319356
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,49,       3.364005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,50,       3.155147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,51,       3.183486
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,52,       3.266076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,53,       3.274296
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,54,       3.228426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,55,       3.290665
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,56,       3.203436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,57,       3.188586
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,58,       3.198377
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,59,       3.234385
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,60,       3.227856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,61,       3.251925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,62,       3.216545
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,63,       3.205906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,64,       3.263646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,65,       3.138496
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,66,       3.276805
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,67,       3.232486
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,68,       3.346774
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,69,       3.171836
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,70,       3.256566
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,71,       3.222636
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,72,       3.243386
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,73,       3.215226
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,74,       3.138956
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,       7.706598
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,       7.509580
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,       7.345042
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,       7.460101
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,       7.332272
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,       7.433442
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,       7.432142
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,       7.364662
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,       7.316662
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,       7.484921
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,       7.268503
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,       7.380022
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,       7.433481
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,       7.298763
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,       7.475811
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,       7.452451
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,       7.421421
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,       7.303813
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,       7.372542
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,       7.244393
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,20,       7.312002
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,21,       7.380812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,22,       7.411161
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,23,       7.325602
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,24,       7.438781
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,25,       7.416062
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,26,       7.384851
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,27,       7.383962
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,28,       7.314803
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,29,       7.363132
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,30,       7.404941
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,31,       7.409931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,32,       7.391232
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,33,       7.298323
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,34,       7.371302
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,35,       7.220543
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,36,       7.361102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,37,       7.520070
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,38,       7.308463
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,39,       7.337692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,40,       7.376762
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,41,       7.421132
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,42,       7.299312
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,43,       7.323392
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,44,       7.409962
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,45,       7.331273
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,46,       7.293753
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,47,       7.365722
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,48,       7.332812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,49,       7.384952
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,50,       7.389962
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,51,       7.392812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,52,       7.420162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,53,       7.310882
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,54,       7.329433
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,55,       7.331922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,56,       7.401622
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,57,       7.386532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,58,       7.382261
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,59,       7.399332
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,60,       7.402142
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,61,       7.413622
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,62,       7.509841
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,63,       7.245333
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,64,       7.355402
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,65,       7.278253
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,66,       7.409992
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,67,       7.409752
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,68,       7.338082
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,69,       7.508261
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,70,       7.421222
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,71,       7.383911
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,72,       7.440711
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,73,       7.358113
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,74,       7.424222
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,      15.316378
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,      15.817463
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,      15.784722
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,      15.754383
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,      15.738723
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,      15.790213
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,      15.838162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,      15.757073
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,      15.817133
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,      15.863322
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,      15.842892
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,      15.809292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,      15.695653
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,      15.802442
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,      15.880322
