dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",64,0,       0.103289
2,double,uniform,PoisFFT,"D | D | D | D",64,1,       0.100689
2,double,uniform,PoisFFT,"D | D | D | D",64,2,       0.104589
2,double,uniform,PoisFFT,"D | D | D | D",64,3,       0.101118
2,double,uniform,PoisFFT,"D | D | D | D",64,4,       0.100889
2,double,uniform,PoisFFT,"D | D | D | D",64,5,       0.100549
2,double,uniform,PoisFFT,"D | D | D | D",64,6,       0.100509
2,double,uniform,PoisFFT,"D | D | D | D",64,7,       0.101979
2,double,uniform,PoisFFT,"D | D | D | D",64,8,       0.100530
2,double,uniform,PoisFFT,"D | D | D | D",64,9,       0.104719
2,double,uniform,PoisFFT,"D | D | D | D",64,10,       0.100879
2,double,uniform,PoisFFT,"D | D | D | D",64,11,       0.100429
2,double,uniform,PoisFFT,"D | D | D | D",64,12,       0.100519
2,double,uniform,PoisFFT,"D | D | D | D",64,13,       0.100668
2,double,uniform,PoisFFT,"D | D | D | D",64,14,       0.100939
2,double,uniform,PoisFFT,"D | D | D | D",64,15,       0.100669
2,double,uniform,PoisFFT,"D | D | D | D",64,16,       0.100459
2,double,uniform,PoisFFT,"D | D | D | D",64,17,       0.100439
2,double,uniform,PoisFFT,"D | D | D | D",64,18,       0.100668
2,double,uniform,PoisFFT,"D | D | D | D",64,19,       0.101169
2,double,uniform,PoisFFT,"D | D | D | D",64,20,       0.100449
2,double,uniform,PoisFFT,"D | D | D | D",64,21,       0.100829
2,double,uniform,PoisFFT,"D | D | D | D",64,22,       0.105129
2,double,uniform,PoisFFT,"D | D | D | D",64,23,       0.102470
2,double,uniform,PoisFFT,"D | D | D | D",64,24,       0.100849
2,double,uniform,PoisFFT,"D | D | D | D",64,25,       0.100269
2,double,uniform,PoisFFT,"D | D | D | D",64,26,       0.100349
2,double,uniform,PoisFFT,"D | D | D | D",64,27,       0.100359
2,double,uniform,PoisFFT,"D | D | D | D",64,28,       0.100359
2,double,uniform,PoisFFT,"D | D | D | D",64,29,       0.104189
2,double,uniform,PoisFFT,"D | D | D | D",64,30,       0.101099
2,double,uniform,PoisFFT,"D | D | D | D",64,31,       0.100289
2,double,uniform,PoisFFT,"D | D | D | D",64,32,       0.100449
2,double,uniform,PoisFFT,"D | D | D | D",64,33,       0.100439
2,double,uniform,PoisFFT,"D | D | D | D",64,34,       0.100469
2,double,uniform,PoisFFT,"D | D | D | D",64,35,       0.100439
2,double,uniform,PoisFFT,"D | D | D | D",64,36,       0.104619
2,double,uniform,PoisFFT,"D | D | D | D",64,37,       0.100779
2,double,uniform,PoisFFT,"D | D | D | D",64,38,       0.100388
2,double,uniform,PoisFFT,"D | D | D | D",64,39,       0.100589
2,double,uniform,PoisFFT,"D | D | D | D",64,40,       0.100649
2,double,uniform,PoisFFT,"D | D | D | D",64,41,       0.100478
2,double,uniform,PoisFFT,"D | D | D | D",64,42,       0.100479
2,double,uniform,PoisFFT,"D | D | D | D",64,43,       0.100959
2,double,uniform,PoisFFT,"D | D | D | D",64,44,       0.100779
2,double,uniform,PoisFFT,"D | D | D | D",64,45,       0.100769
2,double,uniform,PoisFFT,"D | D | D | D",64,46,       0.100588
2,double,uniform,PoisFFT,"D | D | D | D",64,47,       0.100519
2,double,uniform,PoisFFT,"D | D | D | D",64,48,       0.100608
2,double,uniform,PoisFFT,"D | D | D | D",64,49,       0.105059
2,double,uniform,PoisFFT,"D | D | D | D",64,50,       0.100679
2,double,uniform,PoisFFT,"D | D | D | D",64,51,       0.101438
2,double,uniform,PoisFFT,"D | D | D | D",64,52,       0.100409
2,double,uniform,PoisFFT,"D | D | D | D",64,53,       0.100668
2,double,uniform,PoisFFT,"D | D | D | D",64,54,       0.100509
2,double,uniform,PoisFFT,"D | D | D | D",64,55,       0.100769
2,double,uniform,PoisFFT,"D | D | D | D",64,56,       0.104739
2,double,uniform,PoisFFT,"D | D | D | D",64,57,       0.100799
2,double,uniform,PoisFFT,"D | D | D | D",64,58,       0.100709
2,double,uniform,PoisFFT,"D | D | D | D",64,59,       0.100299
2,double,uniform,PoisFFT,"D | D | D | D",64,60,       0.100679
2,double,uniform,PoisFFT,"D | D | D | D",64,61,       0.100369
2,double,uniform,PoisFFT,"D | D | D | D",64,62,       0.100459
2,double,uniform,PoisFFT,"D | D | D | D",64,63,       0.106108
2,double,uniform,PoisFFT,"D | D | D | D",64,64,       0.102839
2,double,uniform,PoisFFT,"D | D | D | D",64,65,       0.100039
2,double,uniform,PoisFFT,"D | D | D | D",64,66,       0.100239
2,double,uniform,PoisFFT,"D | D | D | D",64,67,       0.100689
2,double,uniform,PoisFFT,"D | D | D | D",64,68,       0.100339
2,double,uniform,PoisFFT,"D | D | D | D",64,69,       0.100779
2,double,uniform,PoisFFT,"D | D | D | D",64,70,       0.100619
2,double,uniform,PoisFFT,"D | D | D | D",64,71,       0.100429
2,double,uniform,PoisFFT,"D | D | D | D",64,72,       0.100529
2,double,uniform,PoisFFT,"D | D | D | D",64,73,       0.105819
2,double,uniform,PoisFFT,"D | D | D | D",64,74,       0.100579
2,double,uniform,PoisFFT,"D | D | D | D",128,0,       0.857761
2,double,uniform,PoisFFT,"D | D | D | D",128,1,       0.851941
2,double,uniform,PoisFFT,"D | D | D | D",128,2,       0.856320
2,double,uniform,PoisFFT,"D | D | D | D",128,3,       0.859171
2,double,uniform,PoisFFT,"D | D | D | D",128,4,       0.858011
2,double,uniform,PoisFFT,"D | D | D | D",128,5,       0.859141
2,double,uniform,PoisFFT,"D | D | D | D",128,6,       0.859631
2,double,uniform,PoisFFT,"D | D | D | D",128,7,       0.858470
2,double,uniform,PoisFFT,"D | D | D | D",128,8,       0.856800
2,double,uniform,PoisFFT,"D | D | D | D",128,9,       0.857401
2,double,uniform,PoisFFT,"D | D | D | D",128,10,       0.858601
2,double,uniform,PoisFFT,"D | D | D | D",128,11,       0.857501
2,double,uniform,PoisFFT,"D | D | D | D",128,12,       0.856281
2,double,uniform,PoisFFT,"D | D | D | D",128,13,       0.856991
2,double,uniform,PoisFFT,"D | D | D | D",128,14,       0.852631
2,double,uniform,PoisFFT,"D | D | D | D",128,15,       0.854001
2,double,uniform,PoisFFT,"D | D | D | D",128,16,       0.856961
2,double,uniform,PoisFFT,"D | D | D | D",128,17,       0.853631
2,double,uniform,PoisFFT,"D | D | D | D",128,18,       0.850151
2,double,uniform,PoisFFT,"D | D | D | D",128,19,       0.852791
2,double,uniform,PoisFFT,"D | D | D | D",128,20,       0.851491
2,double,uniform,PoisFFT,"D | D | D | D",128,21,       0.855281
2,double,uniform,PoisFFT,"D | D | D | D",128,22,       0.856741
2,double,uniform,PoisFFT,"D | D | D | D",128,23,       0.853431
2,double,uniform,PoisFFT,"D | D | D | D",128,24,       0.855560
2,double,uniform,PoisFFT,"D | D | D | D",128,25,       0.855560
2,double,uniform,PoisFFT,"D | D | D | D",128,26,       0.856201
2,double,uniform,PoisFFT,"D | D | D | D",128,27,       0.852531
2,double,uniform,PoisFFT,"D | D | D | D",128,28,       0.855801
2,double,uniform,PoisFFT,"D | D | D | D",128,29,       0.854990
2,double,uniform,PoisFFT,"D | D | D | D",128,30,       0.852291
2,double,uniform,PoisFFT,"D | D | D | D",128,31,       0.856441
2,double,uniform,PoisFFT,"D | D | D | D",128,32,       0.855341
2,double,uniform,PoisFFT,"D | D | D | D",128,33,       0.853561
2,double,uniform,PoisFFT,"D | D | D | D",128,34,       0.862530
2,double,uniform,PoisFFT,"D | D | D | D",128,35,       0.859420
2,double,uniform,PoisFFT,"D | D | D | D",128,36,       0.860461
2,double,uniform,PoisFFT,"D | D | D | D",128,37,       0.856991
2,double,uniform,PoisFFT,"D | D | D | D",128,38,       0.854701
2,double,uniform,PoisFFT,"D | D | D | D",128,39,       0.856560
2,double,uniform,PoisFFT,"D | D | D | D",128,40,       0.854331
2,double,uniform,PoisFFT,"D | D | D | D",128,41,       0.857921
2,double,uniform,PoisFFT,"D | D | D | D",128,42,       0.856831
2,double,uniform,PoisFFT,"D | D | D | D",128,43,       0.857901
2,double,uniform,PoisFFT,"D | D | D | D",128,44,       0.853221
2,double,uniform,PoisFFT,"D | D | D | D",128,45,       0.850950
2,double,uniform,PoisFFT,"D | D | D | D",128,46,       0.852421
2,double,uniform,PoisFFT,"D | D | D | D",128,47,       0.856661
2,double,uniform,PoisFFT,"D | D | D | D",128,48,       0.854331
2,double,uniform,PoisFFT,"D | D | D | D",128,49,       0.854721
2,double,uniform,PoisFFT,"D | D | D | D",128,50,       0.855410
2,double,uniform,PoisFFT,"D | D | D | D",128,51,       0.851180
2,double,uniform,PoisFFT,"D | D | D | D",128,52,       0.856491
2,double,uniform,PoisFFT,"D | D | D | D",128,53,       0.860031
2,double,uniform,PoisFFT,"D | D | D | D",128,54,       0.854581
2,double,uniform,PoisFFT,"D | D | D | D",128,55,       0.853361
2,double,uniform,PoisFFT,"D | D | D | D",128,56,       0.850930
2,double,uniform,PoisFFT,"D | D | D | D",128,57,       0.858640
2,double,uniform,PoisFFT,"D | D | D | D",128,58,       0.857471
2,double,uniform,PoisFFT,"D | D | D | D",128,59,       0.856061
2,double,uniform,PoisFFT,"D | D | D | D",128,60,       0.856430
2,double,uniform,PoisFFT,"D | D | D | D",128,61,       0.858520
