dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,2,      40.726510
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,3,      41.585400
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,4,      40.427533
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,5,      42.680189
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,6,      40.790918
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,7,      42.642489
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,8,      42.104085
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,9,      40.770629
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,10,      41.207364
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,11,      42.684848
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,12,      41.516551
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,13,      42.247133
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,14,      41.616320
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,15,      41.933606
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,16,      40.940007
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,17,      40.926368
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,18,      42.161984
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,19,      43.041364
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,20,      42.013015
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,21,      41.544710
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,22,      41.015627
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,23,      41.993106
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,24,      40.711720
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,25,      41.220024
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,26,      42.843387
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,27,      40.543002
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,28,      40.750999
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,29,      41.393962
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,30,      40.637781
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,31,      42.703678
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,32,      42.754918
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,33,      40.735180
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,34,      42.727608
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,35,      41.309544
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,36,      41.116946
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,37,      42.210143
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,38,      40.962697
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,39,      41.400282
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,40,      41.127855
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,41,      41.453982
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,42,      42.114745
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,43,      40.238965
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,44,      40.542861
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,45,      42.382242
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,46,      40.787149
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,47,      43.107144
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,48,      42.404912
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,49,      41.092955
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,50,      42.586500
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,51,      42.010106
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,52,      41.296404
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,53,      42.989985
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,54,      41.852488
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,55,      41.774368
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,56,      41.981786
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,57,      41.463461
