dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,0,      17.541767
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,1,      13.889828
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       0.355806
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       0.349456
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       0.350167
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       0.346276
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       0.349466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       0.347636
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       0.357767
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       0.350626
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       0.352766
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       0.348376
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       0.350756
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       0.353476
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       0.352197
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       0.351856
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       0.352806
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       0.361576
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       0.353916
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       0.351796
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,20,       0.352897
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,21,       0.358046
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,22,       0.354356
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,23,       0.357296
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,24,       0.352266
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,25,       0.354067
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,26,       0.352416
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,27,       0.356446
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,28,       0.351626
