dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,0,      12.964637
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       1.224276
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       0.840360
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       0.918400
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       0.810841
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       1.059508
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       1.343935
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       1.221346
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       0.909450
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       1.279146
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       0.976589
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       1.054598
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       1.209216
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       0.940349
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       0.973199
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       1.003929
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       1.090928
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       1.053189
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       0.956550
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       1.099757
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,20,       0.928110
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,21,       1.024329
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,22,       0.899550
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,23,       1.002969
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,24,       0.882340
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,25,       1.248766
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,26,       1.026389
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,27,       1.133078
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,28,       0.975039
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,29,       1.394584
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,30,       1.220587
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,31,       0.843001
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,32,       0.984429
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,33,       0.952120
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,34,       0.962519
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,35,       1.225767
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,36,       1.115728
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,37,       1.022368
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,38,       0.913640
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,39,       0.885770
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,40,       1.104388
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,41,       1.053648
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,42,       1.203367
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,43,       1.123188
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,44,       1.093588
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,45,       0.952989
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,46,       0.833351
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,47,       1.055608
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,48,       0.872231
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,49,       1.048239
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,50,       0.996969
