dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,      16.478942
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,      18.845196
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,      18.896656
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,      18.933945
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.294557
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.292116
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.287637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.290377
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.287227
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.294677
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.285387
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.286287
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.287387
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.285947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.283877
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.282157
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.289637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.283187
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.281517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.286627
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.288537
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.284947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.282627
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.292947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.286537
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.287897
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.289677
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.284637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.279367
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,29,       0.280537
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,30,       0.280617
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,31,       0.276286
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,32,       0.277407
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,33,       0.277627
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,34,       0.275577
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,35,       0.275557
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,36,       0.272587
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,37,       0.277447
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,38,       0.278337
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,39,       0.270567
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,40,       0.272377
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,41,       0.270637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,42,       0.269688
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,43,       0.275047
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,44,       0.271277
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,45,       0.274957
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,46,       0.272257
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,47,       0.276057
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,48,       0.271217
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,49,       0.273797
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,50,       0.271137
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,51,       0.269517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,52,       0.270757
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,53,       0.270067
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,54,       0.271038
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,55,       0.269397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,56,       0.271697
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,57,       0.272547
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,58,       0.267057
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,59,       0.269947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,60,       0.271897
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,61,       0.270247
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,62,       0.272127
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,63,       0.272077
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,64,       0.271297
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,65,       0.271937
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,66,       0.271897
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,67,       0.272467
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,68,       0.270847
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,69,       0.271307
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,70,       0.271817
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,71,       0.273487
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,72,       0.271537
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,73,       0.272517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,74,       0.280737
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,       4.769039
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,       4.188875
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,       4.248244
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,       4.211244
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,       4.149405
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,       4.247574
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,       4.221995
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,       4.166966
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,       4.237014
