dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,      16.864158
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,      18.826407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,      18.952246
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,      18.917726
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,      16.203035
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,      10.935662
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.303627
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.299607
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.291107
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.294167
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.296687
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.305577
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.297557
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.296617
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.299086
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.297587
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.302757
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.290817
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.294497
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.305346
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,20,       0.301877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,21,       0.303587
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,22,       0.297747
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,23,       0.296187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,24,       0.293827
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,25,       0.293276
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,26,       0.298397
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,27,       0.297286
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,28,       0.294477
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,29,       0.302086
