dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.039029
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.036080
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.035400
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.035660
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.035450
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.035620
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.035399
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.035779
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.035459
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.035540
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.035030
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.035590
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.035420
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.035499
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.035579
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.035219
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.035629
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.035679
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.035620
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.035620
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,20,       0.035550
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,21,       0.035370
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,22,       0.035539
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,23,       0.035689
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,24,       0.035559
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,25,       0.035509
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,26,       0.035680
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,27,       0.035580
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,28,       0.035830
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,29,       0.035280
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,30,       0.035090
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,31,       0.035610
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,32,       0.035780
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,33,       0.035789
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,34,       0.035709
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,35,       0.035600
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,36,       0.035749
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,37,       0.035670
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,38,       0.035570
