dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,39,       2.920478
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,40,       2.913928
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,41,       2.821679
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,42,       2.834889
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,43,       2.896138
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,44,       2.830279
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,45,       2.837398
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,46,       2.889288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,47,       2.854379
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,48,       2.889698
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,49,       2.868209
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,50,       2.797700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,51,       2.820769
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,52,       2.820679
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,53,       2.841329
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,54,       2.815089
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,55,       2.896479
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,56,       2.890938
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,57,       2.839269
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,58,       2.815679
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,59,       2.841769
