dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,36,       7.811826
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,37,       7.918525
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,38,       7.772917
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,39,       7.932375
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,40,       7.771267
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,41,       7.768616
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,42,       7.662367
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,43,       7.647818
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,44,       7.718307
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,45,       7.938684
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,46,       7.715177
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,47,       7.824016
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,48,       7.894835
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,49,       7.846635
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,50,       7.783636
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,51,       7.893795
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,52,       7.770686
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,53,       7.960995
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,54,       7.841926
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,55,       7.846746
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,56,       7.895565
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,57,       7.856396
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,58,       7.865685
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,59,       7.694158
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,60,       7.661378
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,61,       7.723337
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,62,       7.834676
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,63,       7.748427
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,64,       7.734817
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,65,       7.840275
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,66,       7.821026
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,67,       7.914324
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,68,       7.857076
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,69,       7.894815
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,70,       7.752237
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,71,       7.865246
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,72,       7.844175
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,73,       8.274171
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,74,       7.874715
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,0,       9.090402
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,1,       9.173571
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,2,       9.019053
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,3,       9.118292
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,4,       8.802175
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,5,       8.979754
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,6,       8.820575
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,7,       8.731236
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,8,       9.002703
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,9,       8.859954
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,10,       8.779956
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,11,       8.663407
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,12,       8.795896
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,13,       8.894874
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,14,       9.019203
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,15,       9.031723
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,16,       9.011963
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,17,       8.671887
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,18,       8.738576
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,19,       8.703376
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,20,       9.001823
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,21,       8.883574
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,22,       8.733666
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,23,       9.063902
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,24,       8.744456
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,25,       9.064592
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,26,       8.688256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,27,       8.796575
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,28,       8.782596
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,29,       8.675076
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,30,       9.069682
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,31,       8.708587
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,32,       8.667867
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,33,       8.736847
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,34,       8.936394
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,35,       8.606768
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,36,       8.670017
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,37,       9.110472
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,38,       8.829256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,39,       8.647577
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,40,       8.729816
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,41,       8.813515
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,42,       8.946644
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,43,       9.026223
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,44,       9.015893
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,45,       9.024533
