dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       5.872468
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.347506
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.352346
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.347076
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.351527
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.348576
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.345886
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.344677
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.340647
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.343036
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.345787
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.341116
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.352866
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.358437
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.341376
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.335847
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.340936
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.342577
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.352866
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.363306
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.331796
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.345586
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.340117
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.345966
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.361326
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.355656
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.354956
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.342906
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.354997
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.352696
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.340036
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.335396
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.339536
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.336927
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.331346
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.338456
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.338317
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.340566
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.337357
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.359306
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.351177
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.348136
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.344646
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.341336
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.343436
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.357336
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.355016
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.345017
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.331646
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.353766
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.368676
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.358006
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.356746
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.358896
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.358636
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.343777
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.368476
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.337286
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.343957
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.351386
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,60,       0.349927
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,61,       0.344036
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,62,       0.354197
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,63,       0.343596
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,64,       0.349206
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.335377
