dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,      16.918837
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,      18.780447
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,      18.940886
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,      18.942246
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,      18.952396
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,      18.883567
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,      18.845747
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,      16.192065
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       2.583972
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.286837
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.287576
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.286207
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.285517
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.292666
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.287927
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.291817
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.294347
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.293737
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.296346
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.292776
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,20,       0.286627
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,21,       0.284117
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,22,       0.286496
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,23,       0.284237
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,24,       0.281737
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,25,       0.283908
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,26,       0.276568
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,27,       0.274097
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,28,       0.277247
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,29,       0.274057
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,30,       0.275707
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,31,       0.274637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,32,       0.277517
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,33,       0.274937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,34,       0.275027
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,35,       0.277867
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,36,       0.277567
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,37,       0.278167
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,38,       0.278777
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,39,       0.273597
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,40,       0.274337
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,41,       0.273947
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,42,       0.274237
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,43,       0.272157
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,44,       0.274057
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,45,       0.273927
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,46,       0.271267
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,47,       0.271407
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,48,       0.270047
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,49,       0.275137
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,50,       0.271697
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,51,       0.273957
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,52,       0.273508
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,53,       0.272608
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,54,       0.271817
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,55,       0.271937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,56,       0.270538
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,57,       0.273307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,58,       0.276147
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,59,       0.279747
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,60,       0.285128
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,61,       0.277217
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,62,       0.282727
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,63,       0.282397
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,64,       0.280087
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,65,       0.279748
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,66,       0.282647
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,67,       0.278277
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,68,       0.280937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,69,       0.280427
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,70,       0.283727
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,71,       0.286726
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,72,       0.281017
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,73,       0.278317
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,74,       0.282097
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       4.577201
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       4.061846
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       4.032967
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       4.073287
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       4.059836
