dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.469854
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.388445
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.397706
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.386496
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.388695
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.398326
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.398365
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.372806
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.370466
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.374846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.377746
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.405736
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.403785
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.401306
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.374025
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.384955
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.379816
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.380145
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.375105
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.366256
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.401855
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.390026
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.399735
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.389586
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.388106
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.371176
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.362626
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.363496
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.361266
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.370286
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.367066
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.380166
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.393706
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,33,       0.386636
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,34,       0.387766
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,35,       0.393676
