dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.417625
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.361026
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.364526
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.361027
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.367496
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.352326
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.365446
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.360076
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.361646
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.352056
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.345956
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.348086
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.360717
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.349976
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.348406
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.345516
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.337417
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.363086
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.366486
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.347457
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,20,       0.353086
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,21,       0.353666
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,22,       0.349347
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,23,       0.355476
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,24,       0.350536
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,25,       0.347796
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,26,       0.359836
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,27,       0.361946
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,28,       0.361716
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,29,       0.363906
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,30,       0.362186
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,31,       0.364936
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,32,       0.369346
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,33,       0.364896
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,34,       0.363686
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,35,       0.359146
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,36,       0.358376
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,37,       0.359456
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,38,       0.355516
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,39,       0.355847
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,40,       0.350706
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,41,       0.363466
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,42,       0.356497
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,43,       0.361646
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,44,       0.365066
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,45,       0.359656
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,46,       0.355936
