dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,28,       0.221938
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,29,       0.225538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,30,       0.222978
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,31,       0.219398
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,32,       0.214258
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,33,       0.212378
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,34,       0.213288
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,35,       0.212538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,36,       0.211368
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,37,       0.215257
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,38,       0.212657
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,39,       0.205818
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,40,       0.210268
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,41,       0.213687
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,42,       0.214368
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,43,       0.212708
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,44,       0.215158
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,45,       0.213038
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,46,       0.216408
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,47,       0.205978
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,48,       0.210108
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,49,       0.207698
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,50,       0.208238
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,51,       0.206428
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,52,       0.212248
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,53,       0.207317
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,54,       0.210698
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,55,       0.216038
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,56,       0.208258
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,57,       0.206148
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,58,       0.206629
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,59,       0.202778
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,60,       0.210578
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,61,       0.202458
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,62,       0.201738
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,63,       0.205568
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,64,       0.203318
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,65,       0.205109
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,66,       0.205428
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,67,       0.195418
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,68,       0.202978
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,69,       0.204598
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,70,       0.203289
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,71,       0.203328
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,72,       0.211568
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,73,       0.207948
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,74,       0.206528
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       2.064869
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       1.357197
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       1.350906
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       1.343096
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,4,       1.384156
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,5,       1.358796
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,6,       1.316587
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,7,       1.349267
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,8,       1.345647
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,9,       1.317597
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,10,       1.986311
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,11,       1.350117
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,12,       1.348706
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,13,       1.333937
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,14,       1.349527
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,15,       1.376036
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,16,       1.342097
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,17,       1.343407
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,18,       1.333887
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,19,       1.368126
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,20,       1.372536
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,21,       1.360727
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,22,       1.837951
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,23,       1.385096
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,24,       1.366546
