dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"N | D",192,6,       0.001240
1,float,uniform,PoisFFT,"N | D",192,7,       0.001230
1,float,uniform,PoisFFT,"N | D",192,8,       0.001230
1,float,uniform,PoisFFT,"N | D",192,9,       0.001240
1,float,uniform,PoisFFT,"N | D",192,10,       0.001250
1,float,uniform,PoisFFT,"N | D",192,11,       0.001230
1,float,uniform,PoisFFT,"N | D",192,12,       0.001230
1,float,uniform,PoisFFT,"N | D",192,13,       0.001250
1,float,uniform,PoisFFT,"N | D",192,14,       0.001229
1,float,uniform,PoisFFT,"N | D",192,15,       0.001229
1,float,uniform,PoisFFT,"N | D",192,16,       0.001231
1,float,uniform,PoisFFT,"N | D",192,17,       0.001249
1,float,uniform,PoisFFT,"N | D",192,18,       0.001260
1,float,uniform,PoisFFT,"N | D",192,19,       0.001240
1,float,uniform,PoisFFT,"N | D",192,20,       0.001220
1,float,uniform,PoisFFT,"N | D",192,21,       0.001230
1,float,uniform,PoisFFT,"N | D",192,22,       0.001230
1,float,uniform,PoisFFT,"N | D",192,23,       0.001230
1,float,uniform,PoisFFT,"N | D",192,24,       0.001220
1,float,uniform,PoisFFT,"N | D",192,25,       0.001220
1,float,uniform,PoisFFT,"N | D",192,26,       0.001230
1,float,uniform,PoisFFT,"N | D",192,27,       0.001220
1,float,uniform,PoisFFT,"N | D",192,28,       0.001450
1,float,uniform,PoisFFT,"N | D",192,29,       0.001450
1,float,uniform,PoisFFT,"N | D",192,30,       0.001260
1,float,uniform,PoisFFT,"N | D",192,31,       0.001230
1,float,uniform,PoisFFT,"N | D",192,32,       0.001230
1,float,uniform,PoisFFT,"N | D",192,33,       0.001230
1,float,uniform,PoisFFT,"N | D",192,34,       0.001230
1,float,uniform,PoisFFT,"N | D",192,35,       0.001229
1,float,uniform,PoisFFT,"N | D",192,36,       0.001220
1,float,uniform,PoisFFT,"N | D",192,37,       0.001229
1,float,uniform,PoisFFT,"N | D",192,38,       0.001229
1,float,uniform,PoisFFT,"N | D",192,39,       0.001220
1,float,uniform,PoisFFT,"N | D",192,40,       0.001230
1,float,uniform,PoisFFT,"N | D",192,41,       0.001230
