dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.273877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,66,       0.286287
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,67,       0.285247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,68,       0.285337
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,69,       0.287416
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,70,       0.281787
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,71,       0.274017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,72,       0.279567
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,73,       0.275777
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,74,       0.273647
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       4.414422
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       4.034187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       4.051107
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       4.074316
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       4.075406
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       4.081735
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       4.103426
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       4.048016
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       4.108406
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       4.075236
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       4.093066
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       4.069906
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       4.096506
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       4.026777
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       4.111066
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       4.094576
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       4.081856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       4.053376
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       4.063347
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       4.065336
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,20,       4.093216
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,21,       4.105905
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,22,       4.129646
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,23,       4.108375
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,24,       4.087066
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,25,       4.082206
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,26,       4.093816
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,27,       4.101036
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,28,       4.131286
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,29,       4.115615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,30,       4.104086
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,31,       4.106066
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,32,       4.122265
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,33,       4.111435
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,34,       4.106925
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,35,       4.110906
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,36,       4.146855
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,37,       4.125965
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,38,       4.096386
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,39,       4.148125
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,40,       4.085006
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,41,       4.128535
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,42,       4.122476
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,43,       4.105616
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,44,       4.101446
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,45,       4.078136
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,46,       4.118856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,47,       4.103756
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,48,       4.113925
