dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"D | D | D | D",64,0,       0.099609
2,float,uniform,PoisFFT,"D | D | D | D",64,1,       0.085639
2,float,uniform,PoisFFT,"D | D | D | D",64,2,       0.084159
2,float,uniform,PoisFFT,"D | D | D | D",64,3,       0.083439
2,float,uniform,PoisFFT,"D | D | D | D",64,4,       0.083519
2,float,uniform,PoisFFT,"D | D | D | D",64,5,       0.083399
2,float,uniform,PoisFFT,"D | D | D | D",64,6,       0.083829
2,float,uniform,PoisFFT,"D | D | D | D",64,7,       0.083619
2,float,uniform,PoisFFT,"D | D | D | D",64,8,       0.083529
2,float,uniform,PoisFFT,"D | D | D | D",64,9,       0.088539
2,float,uniform,PoisFFT,"D | D | D | D",64,10,       0.083739
2,float,uniform,PoisFFT,"D | D | D | D",64,11,       0.083529
2,float,uniform,PoisFFT,"D | D | D | D",64,12,       0.083469
2,float,uniform,PoisFFT,"D | D | D | D",64,13,       0.083569
2,float,uniform,PoisFFT,"D | D | D | D",64,14,       0.083639
2,float,uniform,PoisFFT,"D | D | D | D",64,15,       0.083429
2,float,uniform,PoisFFT,"D | D | D | D",64,16,       0.083499
2,float,uniform,PoisFFT,"D | D | D | D",64,17,       0.083989
2,float,uniform,PoisFFT,"D | D | D | D",64,18,       0.088519
2,float,uniform,PoisFFT,"D | D | D | D",64,19,       0.083450
2,float,uniform,PoisFFT,"D | D | D | D",64,20,       0.083740
2,float,uniform,PoisFFT,"D | D | D | D",64,21,       0.083529
2,float,uniform,PoisFFT,"D | D | D | D",64,22,       0.083609
2,float,uniform,PoisFFT,"D | D | D | D",64,23,       0.083599
2,float,uniform,PoisFFT,"D | D | D | D",64,24,       0.083679
2,float,uniform,PoisFFT,"D | D | D | D",64,25,       0.083410
2,float,uniform,PoisFFT,"D | D | D | D",64,26,       0.083579
2,float,uniform,PoisFFT,"D | D | D | D",64,27,       0.088259
2,float,uniform,PoisFFT,"D | D | D | D",64,28,       0.084289
2,float,uniform,PoisFFT,"D | D | D | D",64,29,       0.083669
2,float,uniform,PoisFFT,"D | D | D | D",64,30,       0.083490
2,float,uniform,PoisFFT,"D | D | D | D",64,31,       0.083510
2,float,uniform,PoisFFT,"D | D | D | D",64,32,       0.083569
2,float,uniform,PoisFFT,"D | D | D | D",64,33,       0.083549
2,float,uniform,PoisFFT,"D | D | D | D",64,34,       0.083679
2,float,uniform,PoisFFT,"D | D | D | D",64,35,       0.083419
2,float,uniform,PoisFFT,"D | D | D | D",64,36,       0.083379
2,float,uniform,PoisFFT,"D | D | D | D",64,37,       0.088248
2,float,uniform,PoisFFT,"D | D | D | D",64,38,       0.083679
2,float,uniform,PoisFFT,"D | D | D | D",64,39,       0.083419
2,float,uniform,PoisFFT,"D | D | D | D",64,40,       0.083499
2,float,uniform,PoisFFT,"D | D | D | D",64,41,       0.083539
2,float,uniform,PoisFFT,"D | D | D | D",64,42,       0.083409
2,float,uniform,PoisFFT,"D | D | D | D",64,43,       0.083459
2,float,uniform,PoisFFT,"D | D | D | D",64,44,       0.083629
2,float,uniform,PoisFFT,"D | D | D | D",64,45,       0.084049
2,float,uniform,PoisFFT,"D | D | D | D",64,46,       0.087919
2,float,uniform,PoisFFT,"D | D | D | D",64,47,       0.083769
2,float,uniform,PoisFFT,"D | D | D | D",64,48,       0.083839
2,float,uniform,PoisFFT,"D | D | D | D",64,49,       0.083519
2,float,uniform,PoisFFT,"D | D | D | D",64,50,       0.083519
2,float,uniform,PoisFFT,"D | D | D | D",64,51,       0.083679
2,float,uniform,PoisFFT,"D | D | D | D",64,52,       0.083389
2,float,uniform,PoisFFT,"D | D | D | D",64,53,       0.083449
2,float,uniform,PoisFFT,"D | D | D | D",64,54,       0.083559
2,float,uniform,PoisFFT,"D | D | D | D",64,55,       0.083450
2,float,uniform,PoisFFT,"D | D | D | D",64,56,       0.087899
2,float,uniform,PoisFFT,"D | D | D | D",64,57,       0.083539
2,float,uniform,PoisFFT,"D | D | D | D",64,58,       0.083479
2,float,uniform,PoisFFT,"D | D | D | D",64,59,       0.083549
2,float,uniform,PoisFFT,"D | D | D | D",64,60,       0.083489
2,float,uniform,PoisFFT,"D | D | D | D",64,61,       0.083459
2,float,uniform,PoisFFT,"D | D | D | D",64,62,       0.083379
2,float,uniform,PoisFFT,"D | D | D | D",64,63,       0.083609
2,float,uniform,PoisFFT,"D | D | D | D",64,64,       0.083489
2,float,uniform,PoisFFT,"D | D | D | D",64,65,       0.086600
2,float,uniform,PoisFFT,"D | D | D | D",64,66,       0.083909
2,float,uniform,PoisFFT,"D | D | D | D",64,67,       0.083649
2,float,uniform,PoisFFT,"D | D | D | D",64,68,       0.083819
2,float,uniform,PoisFFT,"D | D | D | D",64,69,       0.083539
2,float,uniform,PoisFFT,"D | D | D | D",64,70,       0.083629
2,float,uniform,PoisFFT,"D | D | D | D",64,71,       0.083759
2,float,uniform,PoisFFT,"D | D | D | D",64,72,       0.083399
2,float,uniform,PoisFFT,"D | D | D | D",64,73,       0.083419
2,float,uniform,PoisFFT,"D | D | D | D",64,74,       0.083599
2,float,uniform,PoisFFT,"D | D | D | D",128,0,       1.005289
2,float,uniform,PoisFFT,"D | D | D | D",128,1,       1.002729
