dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",128,6,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,7,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,8,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,9,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,10,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,11,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,12,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,13,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,14,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,15,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,16,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,17,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,18,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,19,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,20,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,21,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,22,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,23,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,24,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,25,       0.000971
1,float,uniform,PoisFFT,"Ns | Ns",128,26,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,27,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,28,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,29,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,30,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,31,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,32,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,33,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,34,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,35,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,36,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,37,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,38,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,39,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,40,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,41,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,42,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,43,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,44,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,45,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,46,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,47,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,48,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,49,       0.000969
1,float,uniform,PoisFFT,"Ns | Ns",128,50,       0.000971
1,float,uniform,PoisFFT,"Ns | Ns",128,51,       0.001171
1,float,uniform,PoisFFT,"Ns | Ns",128,52,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",128,53,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,54,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,55,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,56,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,57,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,58,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,59,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,60,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,61,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,62,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,63,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,64,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,65,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,66,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,67,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,68,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,69,       0.000960
1,float,uniform,PoisFFT,"Ns | Ns",128,70,       0.001050
1,float,uniform,PoisFFT,"Ns | Ns",128,71,       0.000980
1,float,uniform,PoisFFT,"Ns | Ns",128,72,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",128,73,       0.000990
1,float,uniform,PoisFFT,"Ns | Ns",128,74,       0.000970
1,float,uniform,PoisFFT,"Ns | Ns",192,0,       0.002930
1,float,uniform,PoisFFT,"Ns | Ns",192,1,       0.001390
1,float,uniform,PoisFFT,"Ns | Ns",192,2,       0.001300
1,float,uniform,PoisFFT,"Ns | Ns",192,3,       0.001251
1,float,uniform,PoisFFT,"Ns | Ns",192,4,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,5,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,6,       0.001259
1,float,uniform,PoisFFT,"Ns | Ns",192,7,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,8,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,9,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,10,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,11,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,12,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,13,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,14,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,15,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,16,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,17,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,18,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,19,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,20,       0.001260
